File,G652D_40_1000_3.csv,
Date/Time,23-10-20/13:10,

Trace,A
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,B,
Trace Calculate Trace 2,C,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm
Trace,B
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,C,
Trace Calculate Trace 2,D,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm
Trace,C
Center Wavelength,1525,nm
Span Wavelength,250,nm
Start Wavelength,1400,nm
Stop Wavelength,1650,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Calculate,
Trace Storage Mode,Off,
Trace Calculate Trace 1,A,
Trace Calculate Trace 2,B,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1400,nm
Stop,1650,nm

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-5.3830E-008,1400.000000,-2.4860E-008,1400.000000,1.0000E000
1400.125000,-1.0990E-008,1400.125000,-6.4460E-008,1400.125000,1.0000E000
1400.250000,-5.6990E-008,1400.250000,-1.0490E-008,1400.250000,1.0000E000
1400.375000,-1.7440E-008,1400.375000,-4.3300E-008,1400.375000,1.0000E000
1400.500000,-3.3890E-008,1400.500000,-6.6250E-008,1400.500000,1.0000E000
1400.625000,-1.1920E-008,1400.625000,-3.6420E-008,1400.625000,1.0000E000
1400.750000,-3.6420E-008,1400.750000,-6.5580E-008,1400.750000,1.0000E000
1400.875000,-3.5580E-008,1400.875000,-2.8450E-008,1400.875000,1.0000E000
1401.000000,-1.9540E-008,1401.000000,-4.8770E-008,1401.000000,1.0000E000
1401.125000,-6.6360E-008,1401.125000,-3.3990E-008,1401.125000,1.0000E000
1401.250000,9.3840E-009,1401.250000,-6.0700E-008,1401.250000,9.3840E003
1401.375000,-3.3000E-008,1401.375000,-6.9400E-008,1401.375000,1.0000E000
1401.500000,-2.2380E-008,1401.500000,-4.1410E-008,1401.500000,1.0000E000
1401.625000,-7.9940E-009,1401.625000,-2.9210E-008,1401.625000,1.0000E000
1401.750000,-2.6720E-008,1401.750000,-6.0180E-008,1401.750000,1.0000E000
1401.875000,-1.7180E-008,1401.875000,-7.2210E-008,1401.875000,1.0000E000
1402.000000,-7.5900E-008,1402.000000,-5.1830E-008,1402.000000,1.0000E000
1402.125000,-6.9880E-009,1402.125000,-3.7810E-008,1402.125000,1.0000E000
1402.250000,-1.9290E-008,1402.250000,4.2960E-009,1402.250000,2.3277E-004
1402.375000,-1.9860E-008,1402.375000,-2.6460E-008,1402.375000,1.0000E000
1402.500000,-6.9940E-008,1402.500000,-6.0570E-008,1402.500000,1.0000E000
1402.625000,2.1200E-008,1402.625000,-3.7780E-008,1402.625000,2.1200E004
