File,G652D_40_1500_2xtof_przes500v2.csv,
Date/Time,23-10-24/11:26,

Trace,A
Center Wavelength,1542.5,nm
Span Wavelength,165,nm
Start Wavelength,1460,nm
Stop Wavelength,1625,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,B,
Trace Calculate Trace 2,C,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1460,nm
Stop,1625,nm
Trace,B
Center Wavelength,1542.5,nm
Span Wavelength,165,nm
Start Wavelength,1460,nm
Stop Wavelength,1625,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,C,
Trace Calculate Trace 2,D,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1460,nm
Stop,1625,nm
Trace,C
Center Wavelength,1542.5,nm
Span Wavelength,165,nm
Start Wavelength,1460,nm
Stop Wavelength,1625,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,A,
Trace Calculate Trace 2,B,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1460,nm
Stop,1625,nm
Trace,D
Center Wavelength,1542.5,nm
Span Wavelength,165,nm
Start Wavelength,1460,nm
Stop Wavelength,1625,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.028,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,2001,pt
Trace Type,Calculate,
Trace Storage Mode,Off,
Trace Calculate Trace 1,A,
Trace Calculate Trace 2,C,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1460,nm
Stop,1625,nm

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1460.000000,7.2900E-005,1460.000000,1.2430E-006,1460.000000,1.9440E-007,1460.000000,3.7500E002
1460.082500,7.3610E-005,1460.082500,1.2080E-006,1460.082500,2.0670E-007,1460.082500,3.5612E002
1460.165000,7.4060E-005,1460.165000,1.2030E-006,1460.165000,2.1420E-007,1460.165000,3.4575E002
1460.247500,7.4490E-005,1460.247500,1.3130E-006,1460.247500,2.1180E-007,1460.247500,3.5170E002
1460.330000,7.5220E-005,1460.330000,1.2790E-006,1460.330000,2.2040E-007,1460.330000,3.4129E002
1460.412500,7.5890E-005,1460.412500,1.2310E-006,1460.412500,2.0730E-007,1460.412500,3.6609E002
1460.495000,7.6340E-005,1460.495000,1.3000E-006,1460.495000,2.2090E-007,1460.495000,3.4559E002
1460.577500,7.6400E-005,1460.577500,1.3210E-006,1460.577500,2.2420E-007,1460.577500,3.4077E002
1460.660000,7.2040E-005,1460.660000,1.2680E-006,1460.660000,2.2440E-007,1460.660000,3.2103E002
1460.742500,7.8270E-005,1460.742500,1.3680E-006,1460.742500,2.4180E-007,1460.742500,3.2370E002
1460.825000,7.9260E-005,1460.825000,1.3750E-006,1460.825000,2.4980E-007,1460.825000,3.1729E002
1460.907500,8.0030E-005,1460.907500,1.4980E-006,1460.907500,2.1190E-007,1460.907500,3.7768E002
1460.990000,8.0940E-005,1460.990000,1.5150E-006,1460.990000,2.2800E-007,1460.990000,3.5500E002
1461.072500,8.1380E-005,1461.072500,1.4650E-006,1461.072500,2.4880E-007,1461.072500,3.2709E002
1461.155000,8.2350E-005,1461.155000,1.5570E-006,1461.155000,1.9420E-007,1461.155000,4.2405E002
1461.237500,8.2820E-005,1461.237500,1.5710E-006,1461.237500,2.4590E-007,1461.237500,3.3680E002
1461.320000,8.3250E-005,1461.320000,1.4870E-006,1461.320000,2.2040E-007,1461.320000,3.7772E002
1461.402500,8.3880E-005,1461.402500,1.6020E-006,1461.402500,2.0580E-007,1461.402500,4.0758E002
1461.485000,8.4310E-005,1461.485000,1.6490E-006,1461.485000,2.4040E-007,1461.485000,3.5071E002
1461.567500,8.2910E-005,1461.567500,1.6110E-006,1461.567500,2.3610E-007,1461.567500,3.5116E002
1461.650000,8.5460E-005,1461.650000,1.6100E-006,1461.650000,2.5740E-007,1461.650000,3.3201E002
1461.732500,8.6660E-005,1461.732500,1.6970E-006,1461.732500,2.6000E-007,1461.732500,3.3331E002
1461.815000,8.7180E-005,1461.815000,1.7310E-006,1461.815000,2.7140E-007,1461.815000,3.2122E002
1461.897500,8.8550E-005,1461.897500,1.7910E-006,1461.897500,2.6250E-007,1461.897500,3.3733E002
1461.980000,8.8920E-005,1461.980000,1.8050E-006,1461.980000,2.1040E-007,1461.980000,4.2262E002
1462.062500,8.9670E-005,1462.062500,1.8430E-006,1462.062500,2.4730E-007,1462.062500,3.6260E002
1462.145000,9.0660E-005,1462.145000,1.8330E-006,1462.145000,2.4430E-007,1462.145000,3.7110E002
1462.227500,9.0960E-005,1462.227500,1.8250E-006,1462.227500,2.4360E-007,1462.227500,3.7340E002
1462.310000,9.1650E-005,1462.310000,1.9500E-006,1462.310000,2.7270E-007,1462.310000,3.3608E002
