
Trace,D
S. Level,3.0,dB,-67.98,dBm
Peak Count,29,
Signal Prmtr,Peak,,,Point,,
Noise Prmtr,Point,(L+R)/2
Resolution Normalize,Off,,
Noise Position,Off,
Gain Vari,2.98,dB
No.,Wl,,Freq,,Level,,SNR,,L/R,Spacing,,SpacingF
1,1560.815000,nm,192.0743,THz,-67.47,dBm,2.6,dB,A,0.000000,nm,0.0,GHz
2,1560.980000,nm,192.054,THz,-67.43,dBm,-3.73,dB,A,0.165000,nm,20.3,GHz
3,1561.442000,nm,191.9972,THz,-66.9,dBm,-1.87,dB,A,0.462000,nm,56.8,GHz
4,1562.267000,nm,191.8958,THz,-66.47,dBm,4.38,dB,A,0.825000,nm,101.4,GHz
5,1587.875000,nm,188.801,THz,-65.76,dBm,2.35,dB,A,25.608000,nm,3094.8,GHz
6,1588.634000,nm,188.7108,THz,-65.53,dBm,-4.61,dB,A,0.759000,nm,90.2,GHz
7,1589.525000,nm,188.6051,THz,-64.98,dBm,-2.38,dB,A,0.891000,nm,105.7,GHz
8,1590.779000,nm,188.4564,THz,-66.05,dBm,-4.73,dB,A,1.254000,nm,148.7,GHz
9,1591.472000,nm,188.3743,THz,-65.49,dBm,-2.05,dB,A,0.693000,nm,82.1,GHz
10,1591.934000,nm,188.3197,THz,-66.55,dBm,2.49,dB,A,0.462000,nm,54.6,GHz
11,1600.481000,nm,187.314,THz,-67.78,dBm,3.03,dB,A,8.547000,nm,1005.7,GHz
12,1600.679000,nm,187.2908,THz,-67.28,dBm,-.86,dB,A,0.198000,nm,23.2,GHz
13,1600.844000,nm,187.2715,THz,-67.69,dBm,-2.05,dB,A,0.165000,nm,19.3,GHz
14,1601.339000,nm,187.2136,THz,-67.5,dBm,1.27,dB,A,0.495000,nm,57.9,GHz
15,1605.200000,nm,186.7633,THz,-67.69,dBm,1.17,dB,A,3.861000,nm,450.3,GHz
16,1605.398000,nm,186.7403,THz,-67.55,dBm,-3.46,dB,A,0.198000,nm,23.0,GHz
17,1605.860000,nm,186.6865,THz,-67.26,dBm,-1.05,dB,A,0.462000,nm,53.8,GHz
18,1606.223000,nm,186.6444,THz,-67.46,dBm,1.19,dB,A,0.363000,nm,42.1,GHz
19,1606.883000,nm,186.5677,THz,-67.88,dBm,-.46,dB,A,0.660000,nm,76.7,GHz
20,1607.180000,nm,186.5332,THz,-67.93,dBm,-1.41,dB,A,0.297000,nm,34.5,GHz
21,1607.345000,nm,186.5141,THz,-67.96,dBm,-.29,dB,A,0.165000,nm,19.1,GHz
22,1607.972000,nm,186.4413,THz,-67.37,dBm,-.45,dB,A,0.627000,nm,72.8,GHz
23,1608.269000,nm,186.4069,THz,-67.45,dBm,-3.34,dB,A,0.297000,nm,34.4,GHz
24,1608.566000,nm,186.3725,THz,-67.25,dBm,-2.84,dB,A,0.297000,nm,34.4,GHz
25,1608.731000,nm,186.3534,THz,-67.25,dBm,-3.25,dB,A,0.165000,nm,19.1,GHz
26,1609.028000,nm,186.319,THz,-67.3,dBm,-3.86,dB,A,0.297000,nm,34.4,GHz
27,1609.259000,nm,186.2922,THz,-66.53,dBm,-2.22,dB,A,0.231000,nm,26.8,GHz
28,1609.688000,nm,186.2426,THz,-66.72,dBm,-3.23,dB,A,0.429000,nm,49.6,GHz
29,1610.084000,nm,186.1968,THz,-66.97,dBm,2.73,dB,A,0.396000,nm,45.8,GHz
