
Trace,A
S. Level,3.0,dB,-39.46,dBm
Peak Count,125,
Signal Prmtr,Peak,,,Point,,
Noise Prmtr,Point,(L+R)/2
Resolution Normalize,Off,,
Noise Position,Off,
Gain Vari,2.74,dB
No.,Wl,,Freq,,Level,,SNR,,L/R,Spacing,,SpacingF
1,1469.339000,nm,204.0322,THz,-37.86,dBm,-4.24,dB,A,0.000000,nm,0.0,GHz
2,1470.478000,nm,203.8742,THz,-37.67,dBm,-11.38,dB,A,1.139000,nm,158.0,GHz
3,1471.930000,nm,203.673,THz,-37.43,dBm,-11.23,dB,A,1.452000,nm,201.2,GHz
4,1477.441000,nm,202.9133,THz,-37.04,dBm,-10.33,dB,A,5.511000,nm,759.7,GHz
5,1479.058000,nm,202.6915,THz,-37.0,dBm,-13.3,dB,A,1.617000,nm,221.8,GHz
6,1481.747000,nm,202.3236,THz,-37.03,dBm,-8.96,dB,A,2.689000,nm,367.9,GHz
7,1579.279000,nm,189.8287,THz,-36.46,dBm,-6.88,dB,A,97.532000,nm,12494.9,GHz
8,1587.199000,nm,188.8815,THz,-36.54,dBm,-14.19,dB,A,7.920000,nm,947.2,GHz
9,1588.568000,nm,188.7187,THz,-36.57,dBm,-14.18,dB,A,1.369000,nm,162.8,GHz
10,1588.766000,nm,188.6952,THz,-36.59,dBm,-14.11,dB,A,0.198000,nm,23.5,GHz
11,1589.954000,nm,188.5542,THz,-36.62,dBm,-14.66,dB,A,1.188000,nm,141.0,GHz
12,1590.532000,nm,188.4857,THz,-36.61,dBm,-14.31,dB,A,0.578000,nm,68.5,GHz
13,1590.730000,nm,188.4622,THz,-36.62,dBm,-14.57,dB,A,0.198000,nm,23.5,GHz
14,1591.901000,nm,188.3236,THz,-36.63,dBm,-14.5,dB,A,1.171000,nm,138.6,GHz
15,1592.099000,nm,188.3001,THz,-36.64,dBm,-14.17,dB,A,0.198000,nm,23.5,GHz
16,1593.073000,nm,188.185,THz,-36.66,dBm,-14.14,dB,A,0.974000,nm,115.1,GHz
17,1593.287000,nm,188.1597,THz,-36.65,dBm,-13.33,dB,A,0.214000,nm,25.3,GHz
18,1593.485000,nm,188.1364,THz,-36.68,dBm,-12.64,dB,A,0.198000,nm,23.3,GHz
19,1597.231000,nm,187.6951,THz,-36.82,dBm,-14.18,dB,A,3.746000,nm,441.3,GHz
20,1597.429000,nm,187.6719,THz,-36.82,dBm,-13.67,dB,A,0.198000,nm,23.2,GHz
21,1597.610000,nm,187.6506,THz,-36.83,dBm,-13.97,dB,A,0.181000,nm,21.3,GHz
22,1597.808000,nm,187.6273,THz,-36.8,dBm,-13.03,dB,A,0.198000,nm,23.3,GHz
23,1598.006000,nm,187.6041,THz,-36.8,dBm,-12.63,dB,A,0.198000,nm,23.2,GHz
24,1598.204000,nm,187.5808,THz,-36.82,dBm,-12.83,dB,A,0.198000,nm,23.3,GHz
25,1598.402000,nm,187.5576,THz,-36.84,dBm,-12.94,dB,A,0.198000,nm,23.2,GHz
26,1598.600000,nm,187.5344,THz,-36.87,dBm,-13.2,dB,A,0.198000,nm,23.2,GHz
27,1598.815000,nm,187.5092,THz,-36.89,dBm,-13.94,dB,A,0.215000,nm,25.2,GHz
28,1599.013000,nm,187.4859,THz,-36.87,dBm,-13.49,dB,A,0.198000,nm,23.3,GHz
29,1599.194000,nm,187.4647,THz,-36.87,dBm,-13.01,dB,A,0.181000,nm,21.2,GHz
30,1599.409000,nm,187.4395,THz,-36.89,dBm,-13.03,dB,A,0.215000,nm,25.2,GHz
31,1599.607000,nm,187.4163,THz,-36.93,dBm,-13.98,dB,A,0.198000,nm,23.2,GHz
32,1599.805000,nm,187.3931,THz,-36.95,dBm,-14.54,dB,A,0.198000,nm,23.2,GHz
33,1600.003000,nm,187.3699,THz,-36.96,dBm,-13.59,dB,A,0.198000,nm,23.2,GHz
34,1601.389000,nm,187.2078,THz,-37.0,dBm,-13.71,dB,A,1.386000,nm,162.1,GHz
35,1601.587000,nm,187.1846,THz,-37.02,dBm,-14.06,dB,A,0.198000,nm,23.2,GHz
36,1601.966000,nm,187.1403,THz,-37.04,dBm,-14.07,dB,A,0.379000,nm,44.3,GHz
37,1602.775000,nm,187.0459,THz,-37.08,dBm,-14.51,dB,A,0.809000,nm,94.4,GHz
38,1602.973000,nm,187.0228,THz,-37.08,dBm,-14.31,dB,A,0.198000,nm,23.1,GHz
39,1603.171000,nm,186.9997,THz,-37.08,dBm,-13.36,dB,A,0.198000,nm,23.1,GHz
40,1603.369000,nm,186.9766,THz,-37.08,dBm,-12.63,dB,A,0.198000,nm,23.1,GHz
41,1603.567000,nm,186.9535,THz,-37.1,dBm,-12.93,dB,A,0.198000,nm,23.1,GHz
42,1603.765000,nm,186.9304,THz,-37.13,dBm,-13.55,dB,A,0.198000,nm,23.1,GHz
43,1603.979000,nm,186.9055,THz,-37.1,dBm,-12.85,dB,A,0.214000,nm,24.9,GHz
44,1604.177000,nm,186.8824,THz,-37.14,dBm,-13.51,dB,A,0.198000,nm,23.1,GHz
45,1604.573000,nm,186.8363,THz,-37.19,dBm,-14.27,dB,A,0.396000,nm,46.1,GHz
46,1604.771000,nm,186.8132,THz,-37.17,dBm,-13.39,dB,A,0.198000,nm,23.1,GHz
47,1604.969000,nm,186.7902,THz,-37.22,dBm,-13.62,dB,A,0.198000,nm,23.0,GHz
