
Trace,D
S. Level,3.0,dB,-59.05,dBm
Peak Count,23,
Signal Prmtr,Peak,,,Point,,
Noise Prmtr,Point,(L+R)/2
Resolution Normalize,Off,,
Noise Position,Off,
Gain Vari,2.95,dB
No.,Wl,,Freq,,Level,,SNR,,L/R,Spacing,,SpacingF
1,1470.428000,nm,203.8811,THz,-58.99,dBm,.75,dB,A,0.000000,nm,0.0,GHz
2,1470.593000,nm,203.8582,THz,-58.99,dBm,-10.31,dB,A,0.165000,nm,22.9,GHz
3,1471.154000,nm,203.7805,THz,-58.32,dBm,-7.63,dB,A,0.561000,nm,77.7,GHz
4,1472.161000,nm,203.6411,THz,-57.72,dBm,-8.17,dB,A,1.007000,nm,139.4,GHz
5,1472.887000,nm,203.5407,THz,-57.17,dBm,-8.22,dB,A,0.726000,nm,100.4,GHz
6,1473.530000,nm,203.4519,THz,-57.17,dBm,-10.86,dB,A,0.643000,nm,88.8,GHz
7,1474.702000,nm,203.2902,THz,-56.87,dBm,-9.76,dB,A,1.172000,nm,161.7,GHz
8,1475.131000,nm,203.2311,THz,-56.72,dBm,-11.04,dB,A,0.429000,nm,59.1,GHz
9,1476.352000,nm,203.063,THz,-56.32,dBm,-9.75,dB,A,1.221000,nm,168.1,GHz
10,1476.913000,nm,202.9859,THz,-56.24,dBm,-11.85,dB,A,0.561000,nm,77.1,GHz
11,1477.523000,nm,202.9021,THz,-56.08,dBm,-10.46,dB,A,0.610000,nm,83.8,GHz
12,1477.985000,nm,202.8386,THz,-56.11,dBm,-11.46,dB,A,0.462000,nm,63.5,GHz
13,1478.431000,nm,202.7774,THz,-56.05,dBm,-10.49,dB,A,0.446000,nm,61.2,GHz
14,1479.965000,nm,202.5673,THz,-56.22,dBm,-10.71,dB,A,1.534000,nm,210.1,GHz
15,1480.345000,nm,202.5153,THz,-56.34,dBm,-11.15,dB,A,0.380000,nm,52.0,GHz
16,1480.658000,nm,202.4725,THz,-56.36,dBm,-9.78,dB,A,0.313000,nm,42.8,GHz
17,1482.110000,nm,202.2741,THz,-56.65,dBm,-10.83,dB,A,1.452000,nm,198.4,GHz
18,1482.308000,nm,202.2471,THz,-56.75,dBm,-8.95,dB,A,0.198000,nm,27.0,GHz
19,1483.117000,nm,202.1368,THz,-57.17,dBm,-6.29,dB,A,0.809000,nm,110.3,GHz
20,1484.767000,nm,201.9121,THz,-58.45,dBm,-9.1,dB,A,1.650000,nm,224.7,GHz
21,1485.146000,nm,201.8606,THz,-58.84,dBm,.61,dB,A,0.379000,nm,51.5,GHz
22,1524.895000,nm,196.5988,THz,-58.98,dBm,.95,dB,A,39.749000,nm,5261.8,GHz
23,1525.307000,nm,196.5457,THz,-59.0,dBm,.91,dB,A,0.412000,nm,53.1,GHz
