
Trace,E
S. Level,3.0,dB,-50.26,dBm
Peak Count,21,
Signal Prmtr,Peak,,,Point,,
Noise Prmtr,Point,(L+R)/2
Resolution Normalize,Off,,
Noise Position,Off,
Gain Vari,2.99,dB
No.,Wl,,Freq,,Level,,SNR,,L/R,Spacing,,SpacingF
1,1494.914000,nm,200.5416,THz,-47.4,dBm,15.58,dB,A,0.000000,nm,0.0,GHz
2,1513.295000,nm,198.1058,THz,-49.39,dBm,2.03,dB,A,18.381000,nm,2435.8,GHz
3,1522.106000,nm,196.959,THz,-47.26,dBm,5.18,dB,A,8.811000,nm,1146.8,GHz
4,1546.114000,nm,193.9006,THz,-48.29,dBm,2.9,dB,A,24.008000,nm,3058.4,GHz
5,1553.786000,nm,192.9432,THz,-48.48,dBm,1.66,dB,A,7.672000,nm,957.4,GHz
6,1570.055000,nm,190.9439,THz,-49.27,dBm,2.17,dB,A,16.269000,nm,1999.3,GHz
7,1585.103000,nm,189.1312,THz,-50.25,dBm,-7.46,dB,A,15.048000,nm,1812.7,GHz
8,1585.301000,nm,189.1076,THz,-50.18,dBm,-13.36,dB,A,0.198000,nm,23.6,GHz
9,1586.093000,nm,189.0132,THz,-50.05,dBm,-12.76,dB,A,0.792000,nm,94.4,GHz
10,1586.654000,nm,188.9463,THz,-50.0,dBm,-13.93,dB,A,0.561000,nm,66.9,GHz
11,1587.067000,nm,188.8972,THz,-49.97,dBm,-14,dB,A,0.413000,nm,49.1,GHz
12,1587.248000,nm,188.8756,THz,-49.97,dBm,-14.35,dB,A,0.181000,nm,21.6,GHz
13,1587.644000,nm,188.8285,THz,-49.95,dBm,-14.38,dB,A,0.396000,nm,47.1,GHz
14,1588.024000,nm,188.7833,THz,-49.91,dBm,-13.85,dB,A,0.380000,nm,45.2,GHz
15,1588.238000,nm,188.7579,THz,-49.9,dBm,-13.87,dB,A,0.214000,nm,25.4,GHz
16,1588.618000,nm,188.7127,THz,-49.8,dBm,-12.46,dB,A,0.380000,nm,45.2,GHz
17,1588.816000,nm,188.6892,THz,-49.8,dBm,-13.35,dB,A,0.198000,nm,23.5,GHz
18,1588.997000,nm,188.6677,THz,-49.79,dBm,-13.96,dB,A,0.181000,nm,21.5,GHz
19,1589.195000,nm,188.6442,THz,-49.76,dBm,-13.78,dB,A,0.198000,nm,23.5,GHz
20,1589.410000,nm,188.6187,THz,-49.77,dBm,-12.74,dB,A,0.215000,nm,25.5,GHz
21,1590.185000,nm,188.5268,THz,-49.92,dBm,-.75,dB,A,0.775000,nm,91.9,GHz
