
Trace,C
S. Level,3.0,dB,-44.37,dBm
Peak Count,46,
Signal Prmtr,Peak,,,Point,,
Noise Prmtr,Point,(L+R)/2
Resolution Normalize,Off,,
Noise Position,Off,
Gain Vari,2.92,dB
No.,Wl,,Freq,,Level,,SNR,,L/R,Spacing,,SpacingF
1,1469.306000,nm,204.0368,THz,-41.89,dBm,-.95,dB,A,0.000000,nm,0.0,GHz
2,1469.752000,nm,203.9749,THz,-41.87,dBm,-11.1,dB,A,0.446000,nm,61.9,GHz
3,1470.742000,nm,203.8376,THz,-42.03,dBm,-8.66,dB,A,0.990000,nm,137.3,GHz
4,1472.375000,nm,203.6115,THz,-42.82,dBm,-5.02,dB,A,1.633000,nm,226.1,GHz
5,1485.773000,nm,201.7754,THz,-41.38,dBm,2.32,dB,A,13.398000,nm,1836.1,GHz
6,1503.626000,nm,199.3797,THz,-41.64,dBm,3.07,dB,A,17.853000,nm,2395.7,GHz
7,1520.935000,nm,197.1106,THz,-42.89,dBm,-1.28,dB,A,17.309000,nm,2269.1,GHz
8,1535.009000,nm,195.3034,THz,-41.79,dBm,-.52,dB,A,14.074000,nm,1807.2,GHz
9,1552.483000,nm,193.1051,THz,-42.89,dBm,-4.71,dB,A,17.474000,nm,2198.3,GHz
10,1565.567000,nm,191.4913,THz,-41.77,dBm,-1.35,dB,A,13.084000,nm,1613.8,GHz
11,1582.975000,nm,189.3855,THz,-41.46,dBm,-3.81,dB,A,17.408000,nm,2105.8,GHz
12,1583.189000,nm,189.3599,THz,-41.44,dBm,-4.11,dB,A,0.214000,nm,25.6,GHz
13,1592.924000,nm,188.2026,THz,-44.27,dBm,-12.08,dB,A,9.735000,nm,1157.3,GHz
14,1593.122000,nm,188.1792,THz,-44.18,dBm,-13.41,dB,A,0.198000,nm,23.4,GHz
15,1597.660000,nm,187.6447,THz,-42.01,dBm,-5.35,dB,A,4.538000,nm,534.5,GHz
16,1597.858000,nm,187.6215,THz,-41.92,dBm,-12.83,dB,A,0.198000,nm,23.2,GHz
17,1598.056000,nm,187.5982,THz,-41.86,dBm,-13.29,dB,A,0.198000,nm,23.3,GHz
18,1598.237000,nm,187.577,THz,-41.79,dBm,-13.02,dB,A,0.181000,nm,21.2,GHz
19,1598.452000,nm,187.5517,THz,-41.73,dBm,-12.59,dB,A,0.215000,nm,25.3,GHz
20,1598.650000,nm,187.5285,THz,-41.69,dBm,-13.17,dB,A,0.198000,nm,23.2,GHz
21,1599.046000,nm,187.4821,THz,-41.57,dBm,-12.49,dB,A,0.396000,nm,46.4,GHz
22,1599.260000,nm,187.457,THz,-41.52,dBm,-12.92,dB,A,0.214000,nm,25.1,GHz
23,1599.442000,nm,187.4357,THz,-41.51,dBm,-14.02,dB,A,0.182000,nm,21.3,GHz
24,1599.640000,nm,187.4125,THz,-41.48,dBm,-13.87,dB,A,0.198000,nm,23.2,GHz
25,1599.838000,nm,187.3893,THz,-41.45,dBm,-13.54,dB,A,0.198000,nm,23.2,GHz
26,1600.646000,nm,187.2947,THz,-41.38,dBm,-13.33,dB,A,0.808000,nm,94.6,GHz
27,1601.224000,nm,187.2271,THz,-41.37,dBm,-14.15,dB,A,0.578000,nm,67.6,GHz
28,1601.438000,nm,187.202,THz,-41.37,dBm,-14.22,dB,A,0.214000,nm,25.1,GHz
29,1601.620000,nm,187.1808,THz,-41.37,dBm,-14.06,dB,A,0.182000,nm,21.2,GHz
30,1601.818000,nm,187.1576,THz,-41.38,dBm,-14.07,dB,A,0.198000,nm,23.2,GHz
31,1602.016000,nm,187.1345,THz,-41.4,dBm,-13.43,dB,A,0.198000,nm,23.1,GHz
32,1602.626000,nm,187.0633,THz,-41.49,dBm,-13.5,dB,A,0.610000,nm,71.2,GHz
33,1603.204000,nm,186.9958,THz,-41.54,dBm,-12.73,dB,A,0.578000,nm,67.5,GHz
34,1603.418000,nm,186.9709,THz,-41.61,dBm,-12.98,dB,A,0.214000,nm,24.9,GHz
35,1603.600000,nm,186.9496,THz,-41.67,dBm,-13.41,dB,A,0.182000,nm,21.3,GHz
36,1603.814000,nm,186.9247,THz,-41.72,dBm,-13.09,dB,A,0.214000,nm,24.9,GHz
37,1604.012000,nm,186.9016,THz,-41.76,dBm,-10.95,dB,A,0.198000,nm,23.1,GHz
38,1604.821000,nm,186.8074,THz,-42.06,dBm,-8.36,dB,A,0.809000,nm,94.2,GHz
39,1606.603000,nm,186.6002,THz,-42.98,dBm,-10.67,dB,A,1.782000,nm,207.2,GHz
40,1607.197000,nm,186.5312,THz,-43.38,dBm,-12.37,dB,A,0.594000,nm,69.0,GHz
41,1607.411000,nm,186.5064,THz,-43.53,dBm,-11.48,dB,A,0.214000,nm,24.8,GHz
42,1607.791000,nm,186.4623,THz,-43.77,dBm,-12.41,dB,A,0.380000,nm,44.1,GHz
43,1608.005000,nm,186.4375,THz,-43.89,dBm,-12.15,dB,A,0.214000,nm,24.8,GHz
44,1608.220000,nm,186.4126,THz,-44.02,dBm,-12.55,dB,A,0.215000,nm,24.9,GHz
45,1608.418000,nm,186.3896,THz,-44.16,dBm,-13.1,dB,A,0.198000,nm,23.0,GHz
46,1608.599000,nm,186.3687,THz,-44.29,dBm,-4.69,dB,A,0.181000,nm,20.9,GHz
