
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.200000,7.5000E-005,1460.200000,1.1930E-006,1460.200000,7.8710E-007,1460.200000,3.6230E-007,1460.200000,2.0701E002
1460.216480,7.6100E-005,1460.216480,1.2180E-006,1460.216480,8.0000E-007,1460.216480,4.0400E-007,1460.216480,1.8837E002
1460.232960,7.7200E-005,1460.232960,1.2340E-006,1460.232960,7.7200E-007,1460.232960,4.1950E-007,1460.232960,1.8403E002
1460.249440,7.7980E-005,1460.249440,1.2220E-006,1460.249440,8.5160E-007,1460.249440,4.5650E-007,1460.249440,1.7082E002
1460.265920,7.8110E-005,1460.265920,1.3300E-006,1460.265920,7.5650E-007,1460.265920,3.7170E-007,1460.265920,2.1014E002
1460.282400,7.8660E-005,1460.282400,1.2570E-006,1460.282400,8.9790E-007,1460.282400,3.9950E-007,1460.282400,1.9690E002
1460.298880,7.8880E-005,1460.298880,1.3090E-006,1460.298880,8.2540E-007,1460.298880,4.1730E-007,1460.298880,1.8902E002
1460.315360,7.9240E-005,1460.315360,1.2260E-006,1460.315360,8.5570E-007,1460.315360,4.5650E-007,1460.315360,1.7358E002
1460.331840,7.9420E-005,1460.331840,1.2980E-006,1460.331840,7.8620E-007,1460.331840,4.9890E-007,1460.331840,1.5919E002
1460.348320,7.9850E-005,1460.348320,1.3130E-006,1460.348320,7.7200E-007,1460.348320,4.6990E-007,1460.348320,1.6993E002
1460.364800,7.9810E-005,1460.364800,1.2750E-006,1460.364800,8.1180E-007,1460.364800,5.0080E-007,1460.364800,1.5937E002
1460.381280,7.9890E-005,1460.381280,1.2740E-006,1460.381280,8.5270E-007,1460.381280,4.8430E-007,1460.381280,1.6496E002
1460.397760,7.9960E-005,1460.397760,1.2550E-006,1460.397760,7.5050E-007,1460.397760,4.3990E-007,1460.397760,1.8177E002
1460.414240,7.9960E-005,1460.414240,1.2990E-006,1460.414240,8.7620E-007,1460.414240,4.6270E-007,1460.414240,1.7281E002
1460.430720,8.0110E-005,1460.430720,1.2930E-006,1460.430720,8.0800E-007,1460.430720,5.2950E-007,1460.430720,1.5129E002
