
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.000000,9.1150E-005,1460.000000,3.5390E-005,1460.000000,7.1430E-006,1460.000000,7.1430E-006,1460.000000,1.2761E001
1460.016500,9.1170E-005,1460.016500,3.5430E-005,1460.016500,7.2030E-006,1460.016500,7.2030E-006,1460.016500,1.2657E001
1460.033000,9.1510E-005,1460.033000,3.5560E-005,1460.033000,7.1860E-006,1460.033000,7.1860E-006,1460.033000,1.2734E001
1460.049500,9.1810E-005,1460.049500,3.5370E-005,1460.049500,7.2590E-006,1460.049500,7.2590E-006,1460.049500,1.2648E001
1460.066000,9.1750E-005,1460.066000,3.5620E-005,1460.066000,7.2010E-006,1460.066000,7.2010E-006,1460.066000,1.2741E001
1460.082500,9.2120E-005,1460.082500,3.5660E-005,1460.082500,7.2920E-006,1460.082500,7.2920E-006,1460.082500,1.2633E001
1460.099000,9.2590E-005,1460.099000,3.5840E-005,1460.099000,7.2270E-006,1460.099000,7.2270E-006,1460.099000,1.2812E001
1460.115500,9.2460E-005,1460.115500,3.5790E-005,1460.115500,7.3610E-006,1460.115500,7.3610E-006,1460.115500,1.2561E001
1460.132000,9.2590E-005,1460.132000,3.5880E-005,1460.132000,7.3050E-006,1460.132000,7.3050E-006,1460.132000,1.2675E001
1460.148500,9.2700E-005,1460.148500,3.5940E-005,1460.148500,7.3240E-006,1460.148500,7.3240E-006,1460.148500,1.2657E001
1460.165000,9.2800E-005,1460.165000,3.6010E-005,1460.165000,7.2730E-006,1460.165000,7.2730E-006,1460.165000,1.2760E001
1460.181500,9.3020E-005,1460.181500,3.5800E-005,1460.181500,7.3240E-006,1460.181500,7.3240E-006,1460.181500,1.2701E001
1460.198000,9.2870E-005,1460.198000,3.5880E-005,1460.198000,7.3740E-006,1460.198000,7.3740E-006,1460.198000,1.2594E001
1460.214500,9.2830E-005,1460.214500,3.6080E-005,1460.214500,7.4620E-006,1460.214500,7.4620E-006,1460.214500,1.2440E001
1460.231000,9.2930E-005,1460.231000,3.5940E-005,1460.231000,7.4720E-006,1460.231000,7.4720E-006,1460.231000,1.2437E001
1460.247500,9.2780E-005,1460.247500,3.5950E-005,1460.247500,7.4300E-006,1460.247500,7.4300E-006,1460.247500,1.2487E001
1460.264000,9.2570E-005,1460.264000,3.5800E-005,1460.264000,7.3970E-006,1460.264000,7.3970E-006,1460.264000,1.2515E001
1460.280500,9.1840E-005,1460.280500,3.5510E-005,1460.280500,7.3390E-006,1460.280500,7.3390E-006,1460.280500,1.2514E001
1460.297000,9.2290E-005,1460.297000,3.5510E-005,1460.297000,7.3760E-006,1460.297000,7.3760E-006,1460.297000,1.2512E001
1460.313500,9.3360E-005,1460.313500,3.5900E-005,1460.313500,7.5160E-006,1460.313500,7.5160E-006,1460.313500,1.2422E001
1460.330000,9.4200E-005,1460.330000,3.6120E-005,1460.330000,7.4490E-006,1460.330000,7.4490E-006,1460.330000,1.2646E001
1460.346500,9.4500E-005,1460.346500,3.6460E-005,1460.346500,7.6300E-006,1460.346500,7.6300E-006,1460.346500,1.2385E001
1460.363000,9.4890E-005,1460.363000,3.6530E-005,1460.363000,7.6880E-006,1460.363000,7.6880E-006,1460.363000,1.2343E001
1460.379500,9.5210E-005,1460.379500,3.6460E-005,1460.379500,7.6810E-006,1460.379500,7.6810E-006,1460.379500,1.2396E001
1460.396000,9.5540E-005,1460.396000,3.6550E-005,1460.396000,7.7010E-006,1460.396000,7.7010E-006,1460.396000,1.2406E001
1460.412500,9.5620E-005,1460.412500,3.6790E-005,1460.412500,7.6880E-006,1460.412500,7.6880E-006,1460.412500,1.2438E001
1460.429000,9.5730E-005,1460.429000,3.6700E-005,1460.429000,7.7570E-006,1460.429000,7.7570E-006,1460.429000,1.2341E001
1460.445500,9.5710E-005,1460.445500,3.6830E-005,1460.445500,7.7780E-006,1460.445500,7.7780E-006,1460.445500,1.2305E001
1460.462000,9.5750E-005,1460.462000,3.6830E-005,1460.462000,7.7050E-006,1460.462000,7.7050E-006,1460.462000,1.2427E001
1460.478500,9.6170E-005,1460.478500,3.6850E-005,1460.478500,7.7840E-006,1460.478500,7.7840E-006,1460.478500,1.2355E001
1460.495000,9.6380E-005,1460.495000,3.6950E-005,1460.495000,7.8380E-006,1460.495000,7.8380E-006,1460.495000,1.2297E001
1460.511500,9.6490E-005,1460.511500,3.7000E-005,1460.511500,7.8100E-006,1460.511500,7.8100E-006,1460.511500,1.2355E001
1460.528000,9.6960E-005,1460.528000,3.7060E-005,1460.528000,7.8700E-006,1460.528000,7.8700E-006,1460.528000,1.2320E001
1460.544500,9.7220E-005,1460.544500,3.7230E-005,1460.544500,7.8510E-006,1460.544500,7.8510E-006,1460.544500,1.2383E001
1460.561000,9.7410E-005,1460.561000,3.7260E-005,1460.561000,7.9280E-006,1460.561000,7.9280E-006,1460.561000,1.2287E001
1460.577500,9.7730E-005,1460.577500,3.7450E-005,1460.577500,7.9240E-006,1460.577500,7.9240E-006,1460.577500,1.2333E001
1460.594000,9.7800E-005,1460.594000,3.7430E-005,1460.594000,7.9410E-006,1460.594000,7.9410E-006,1460.594000,1.2316E001
1460.610500,9.7890E-005,1460.610500,3.7300E-005,1460.610500,8.0010E-006,1460.610500,8.0010E-006,1460.610500,1.2235E001
1460.627000,9.7820E-005,1460.627000,3.7380E-005,1460.627000,7.9560E-006,1460.627000,7.9560E-006,1460.627000,1.2295E001
1460.643500,9.7990E-005,1460.643500,3.7410E-005,1460.643500,7.9930E-006,1460.643500,7.9930E-006,1460.643500,1.2259E001
1460.660000,9.8190E-005,1460.660000,3.7390E-005,1460.660000,8.0700E-006,1460.660000,8.0700E-006,1460.660000,1.2167E001
1460.676500,9.7990E-005,1460.676500,3.7470E-005,1460.676500,8.0830E-006,1460.676500,8.0830E-006,1460.676500,1.2123E001
1460.693000,9.8270E-005,1460.693000,3.7490E-005,1460.693000,8.0010E-006,1460.693000,8.0010E-006,1460.693000,1.2282E001
1460.709500,9.8450E-005,1460.709500,3.7560E-005,1460.709500,8.0790E-006,1460.709500,8.0790E-006,1460.709500,1.2186E001
1460.726000,9.8580E-005,1460.726000,3.7640E-005,1460.726000,8.0570E-006,1460.726000,8.0570E-006,1460.726000,1.2235E001
1460.742500,9.8810E-005,1460.742500,3.7670E-005,1460.742500,8.0510E-006,1460.742500,8.0510E-006,1460.742500,1.2273E001
1460.759000,9.9010E-005,1460.759000,3.7600E-005,1460.759000,8.1480E-006,1460.759000,8.1480E-006,1460.759000,1.2151E001
1460.775500,9.9350E-005,1460.775500,3.7620E-005,1460.775500,8.1610E-006,1460.775500,8.1610E-006,1460.775500,1.2174E001
1460.792000,9.9290E-005,1460.792000,3.7820E-005,1460.792000,8.2310E-006,1460.792000,8.2310E-006,1460.792000,1.2063E001
1460.808500,9.9500E-005,1460.808500,3.7880E-005,1460.808500,8.1820E-006,1460.808500,8.1820E-006,1460.808500,1.2161E001
1460.825000,9.9690E-005,1460.825000,3.7800E-005,1460.825000,8.2100E-006,1460.825000,8.2100E-006,1460.825000,1.2143E001
1460.841500,9.9890E-005,1460.841500,3.7800E-005,1460.841500,8.3000E-006,1460.841500,8.3000E-006,1460.841500,1.2035E001
1460.858000,9.9800E-005,1460.858000,3.7950E-005,1460.858000,8.2750E-006,1460.858000,8.2750E-006,1460.858000,1.2060E001
1460.874500,9.9840E-005,1460.874500,3.7880E-005,1460.874500,8.1950E-006,1460.874500,8.1950E-006,1460.874500,1.2183E001
1460.891000,9.9910E-005,1460.891000,3.7880E-005,1460.891000,8.2590E-006,1460.891000,8.2590E-006,1460.891000,1.2097E001
1460.907500,1.0000E-004,1460.907500,3.7900E-005,1460.907500,8.2940E-006,1460.907500,8.2940E-006,1460.907500,1.2057E001
1460.924000,1.0000E-004,1460.924000,3.7900E-005,1460.924000,8.3690E-006,1460.924000,8.3690E-006,1460.924000,1.1949E001
1460.940500,1.0020E-004,1460.940500,3.7840E-005,1460.940500,8.3450E-006,1460.940500,8.3450E-006,1460.940500,1.2007E001
