
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.000000,9.0420E-005,1460.000000,5.4020E-005,1460.000000,2.5100E-005,1460.000000,1.7400E-005,1460.000000,3.6024E000
1460.016500,9.0440E-005,1460.016500,5.4090E-005,1460.016500,2.5180E-005,1460.016500,1.7410E-005,1460.016500,3.5917E000
1460.033000,9.0670E-005,1460.033000,5.4240E-005,1460.033000,2.5210E-005,1460.033000,1.7430E-005,1460.033000,3.5966E000
1460.049500,9.0760E-005,1460.049500,5.4370E-005,1460.049500,2.5210E-005,1460.049500,1.7460E-005,1460.049500,3.6002E000
1460.066000,9.0990E-005,1460.066000,5.4500E-005,1460.066000,2.5440E-005,1460.066000,1.7510E-005,1460.066000,3.5767E000
1460.082500,9.1120E-005,1460.082500,5.4600E-005,1460.082500,2.5310E-005,1460.082500,1.7540E-005,1460.082500,3.6002E000
1460.099000,9.1100E-005,1460.099000,5.4750E-005,1460.099000,2.5460E-005,1460.099000,1.7620E-005,1460.099000,3.5782E000
1460.115500,9.1190E-005,1460.115500,5.4690E-005,1460.115500,2.5590E-005,1460.115500,1.7630E-005,1460.115500,3.5635E000
1460.132000,9.1470E-005,1460.132000,5.4840E-005,1460.132000,2.5550E-005,1460.132000,1.7700E-005,1460.132000,3.5800E000
1460.148500,9.1730E-005,1460.148500,5.4910E-005,1460.148500,2.5640E-005,1460.148500,1.7750E-005,1460.148500,3.5776E000
1460.165000,9.1770E-005,1460.165000,5.5040E-005,1460.165000,2.5470E-005,1460.165000,1.7750E-005,1460.165000,3.6031E000
1460.181500,9.1880E-005,1460.181500,5.5060E-005,1460.181500,2.5720E-005,1460.181500,1.7820E-005,1460.181500,3.5723E000
1460.198000,9.2030E-005,1460.198000,5.5190E-005,1460.198000,2.5720E-005,1460.198000,1.7840E-005,1460.198000,3.5781E000
1460.214500,9.2200E-005,1460.214500,5.5230E-005,1460.214500,2.5810E-005,1460.214500,1.7840E-005,1460.214500,3.5723E000
1460.231000,9.2220E-005,1460.231000,5.5210E-005,1460.231000,2.5680E-005,1460.231000,1.7810E-005,1460.231000,3.5911E000
1460.247500,9.2220E-005,1460.247500,5.5230E-005,1460.247500,2.5680E-005,1460.247500,1.7850E-005,1460.247500,3.5911E000
1460.264000,9.1900E-005,1460.264000,5.4840E-005,1460.264000,2.5660E-005,1460.264000,1.7770E-005,1460.264000,3.5814E000
1460.280500,9.1380E-005,1460.280500,5.4730E-005,1460.280500,2.5550E-005,1460.280500,1.7660E-005,1460.280500,3.5765E000
1460.297000,9.1210E-005,1460.297000,5.4650E-005,1460.297000,2.5470E-005,1460.297000,1.7670E-005,1460.297000,3.5811E000
1460.313500,9.1990E-005,1460.313500,5.4950E-005,1460.313500,2.5680E-005,1460.313500,1.7830E-005,1460.313500,3.5822E000
1460.330000,9.2690E-005,1460.330000,5.5700E-005,1460.330000,2.5900E-005,1460.330000,1.7990E-005,1460.330000,3.5788E000
1460.346500,9.3410E-005,1460.346500,5.6040E-005,1460.346500,2.6180E-005,1460.346500,1.8210E-005,1460.346500,3.5680E000
1460.363000,9.3710E-005,1460.363000,5.6240E-005,1460.363000,2.6300E-005,1460.363000,1.8190E-005,1460.363000,3.5631E000
1460.379500,9.4120E-005,1460.379500,5.6330E-005,1460.379500,2.6370E-005,1460.379500,1.8320E-005,1460.379500,3.5692E000
1460.396000,9.4270E-005,1460.396000,5.6500E-005,1460.396000,2.6450E-005,1460.396000,1.8480E-005,1460.396000,3.5641E000
1460.412500,9.4460E-005,1460.412500,5.6580E-005,1460.412500,2.6520E-005,1460.412500,1.8350E-005,1460.412500,3.5618E000
1460.429000,9.4780E-005,1460.429000,5.6710E-005,1460.429000,2.6560E-005,1460.429000,1.8500E-005,1460.429000,3.5685E000
1460.445500,9.4890E-005,1460.445500,5.6690E-005,1460.445500,2.6650E-005,1460.445500,1.8660E-005,1460.445500,3.5606E000
1460.462000,9.5060E-005,1460.462000,5.6990E-005,1460.462000,2.6600E-005,1460.462000,1.8650E-005,1460.462000,3.5737E000
1460.478500,9.5050E-005,1460.478500,5.7040E-005,1460.478500,2.6670E-005,1460.478500,1.8570E-005,1460.478500,3.5639E000
1460.495000,9.5430E-005,1460.495000,5.7210E-005,1460.495000,2.6760E-005,1460.495000,1.8590E-005,1460.495000,3.5661E000
1460.511500,9.5670E-005,1460.511500,5.7410E-005,1460.511500,2.6850E-005,1460.511500,1.8570E-005,1460.511500,3.5631E000
1460.528000,9.5860E-005,1460.528000,5.7620E-005,1460.528000,2.6890E-005,1460.528000,1.8630E-005,1460.528000,3.5649E000
1460.544500,9.6140E-005,1460.544500,5.7670E-005,1460.544500,2.7000E-005,1460.544500,1.8780E-005,1460.544500,3.5607E000
1460.561000,9.6210E-005,1460.561000,5.7800E-005,1460.561000,2.7000E-005,1460.561000,1.8780E-005,1460.561000,3.5633E000
1460.577500,9.6490E-005,1460.577500,5.7800E-005,1460.577500,2.7060E-005,1460.577500,1.8820E-005,1460.577500,3.5658E000
1460.594000,9.6790E-005,1460.594000,5.7930E-005,1460.594000,2.7100E-005,1460.594000,1.8870E-005,1460.594000,3.5716E000
1460.610500,9.6470E-005,1460.610500,5.8030E-005,1460.610500,2.7230E-005,1460.610500,1.8950E-005,1460.610500,3.5428E000
1460.627000,9.6750E-005,1460.627000,5.8210E-005,1460.627000,2.7260E-005,1460.627000,1.9020E-005,1460.627000,3.5492E000
1460.643500,9.7010E-005,1460.643500,5.8120E-005,1460.643500,2.7260E-005,1460.643500,1.9080E-005,1460.643500,3.5587E000
1460.660000,9.7050E-005,1460.660000,5.8200E-005,1460.660000,2.7300E-005,1460.660000,1.9000E-005,1460.660000,3.5549E000
1460.676500,9.7350E-005,1460.676500,5.8200E-005,1460.676500,2.7390E-005,1460.676500,1.9060E-005,1460.676500,3.5542E000
1460.693000,9.7410E-005,1460.693000,5.8400E-005,1460.693000,2.7410E-005,1460.693000,1.9060E-005,1460.693000,3.5538E000
1460.709500,9.7310E-005,1460.709500,5.8400E-005,1460.709500,2.7450E-005,1460.709500,1.9100E-005,1460.709500,3.5450E000
1460.726000,9.7630E-005,1460.726000,5.8610E-005,1460.726000,2.7450E-005,1460.726000,1.9130E-005,1460.726000,3.5566E000
1460.742500,9.7760E-005,1460.742500,5.8700E-005,1460.742500,2.7560E-005,1460.742500,1.9190E-005,1460.742500,3.5472E000
1460.759000,9.7950E-005,1460.759000,5.8850E-005,1460.759000,2.7620E-005,1460.759000,1.9260E-005,1460.759000,3.5463E000
1460.775500,9.8080E-005,1460.775500,5.8910E-005,1460.775500,2.7750E-005,1460.775500,1.9190E-005,1460.775500,3.5344E000
1460.792000,9.8250E-005,1460.792000,5.9020E-005,1460.792000,2.7730E-005,1460.792000,1.9410E-005,1460.792000,3.5431E000
1460.808500,9.8380E-005,1460.808500,5.9090E-005,1460.808500,2.7730E-005,1460.808500,1.9410E-005,1460.808500,3.5478E000
1460.825000,9.8720E-005,1460.825000,5.9150E-005,1460.825000,2.7770E-005,1460.825000,1.9400E-005,1460.825000,3.5549E000
1460.841500,9.8730E-005,1460.841500,5.9410E-005,1460.841500,2.7820E-005,1460.841500,1.9380E-005,1460.841500,3.5489E000
1460.858000,9.8750E-005,1460.858000,5.9300E-005,1460.858000,2.7960E-005,1460.858000,1.9510E-005,1460.858000,3.5318E000
1460.874500,9.8790E-005,1460.874500,5.9370E-005,1460.874500,2.7970E-005,1460.874500,1.9430E-005,1460.874500,3.5320E000
1460.891000,9.9070E-005,1460.891000,5.9320E-005,1460.891000,2.7940E-005,1460.891000,1.9540E-005,1460.891000,3.5458E000
1460.907500,9.9000E-005,1460.907500,5.9410E-005,1460.907500,2.8010E-005,1460.907500,1.9540E-005,1460.907500,3.5345E000
1460.924000,9.9130E-005,1460.924000,5.9600E-005,1460.924000,2.8030E-005,1460.924000,1.9640E-005,1460.924000,3.5366E000
1460.940500,9.9540E-005,1460.940500,5.9650E-005,1460.940500,2.8090E-005,1460.940500,1.9640E-005,1460.940500,3.5436E000
1460.957000,9.9590E-005,1460.957000,5.9770E-005,1460.957000,2.8030E-005,1460.957000,1.9580E-005,1460.957000,3.5530E000
1460.973500,9.9560E-005,1460.973500,5.9840E-005,1460.973500,2.8290E-005,1460.973500,1.9710E-005,1460.973500,3.5193E000
1460.990000,9.9650E-005,1460.990000,6.0010E-005,1460.990000,2.8240E-005,1460.990000,1.9750E-005,1460.990000,3.5287E000
1461.006500,1.0010E-004,1461.006500,5.9920E-005,1461.006500,2.8370E-005,1461.006500,1.9680E-005,1461.006500,3.5284E000
1461.023000,1.0010E-004,1461.023000,6.0270E-005,1461.023000,2.8420E-005,1461.023000,1.9750E-005,1461.023000,3.5222E000
1461.039500,1.0010E-004,1461.039500,6.0230E-005,1461.039500,2.8480E-005,1461.039500,1.9860E-005,1461.039500,3.5147E000
1461.056000,1.0040E-004,1461.056000,6.0350E-005,1461.056000,2.8570E-005,1461.056000,1.9920E-005,1461.056000,3.5142E000
1461.072500,1.0070E-004,1461.072500,6.0620E-005,1461.072500,2.8510E-005,1461.072500,2.0060E-005,1461.072500,3.5321E000
1461.089000,1.0090E-004,1461.089000,6.0410E-005,1461.089000,2.8610E-005,1461.089000,2.0060E-005,1461.089000,3.5267E000
1461.105500,1.0080E-004,1461.105500,6.0600E-005,1461.105500,2.8610E-005,1461.105500,2.0100E-005,1461.105500,3.5232E000
