
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1460.000000,8.2580E-005,1460.000000,3.9820E-005,1460.000000,2.0540E-005,1460.000000,5.9920E-006,1460.000000,1.3782E001
1460.016500,8.2670E-005,1460.016500,3.9750E-005,1460.016500,2.0600E-005,1460.016500,6.0140E-006,1460.016500,1.3746E001
1460.033000,8.2580E-005,1460.033000,3.9840E-005,1460.033000,2.0660E-005,1460.033000,5.9530E-006,1460.033000,1.3872E001
1460.049500,8.2880E-005,1460.049500,3.9990E-005,1460.049500,2.0670E-005,1460.049500,6.0220E-006,1460.049500,1.3763E001
1460.066000,8.2950E-005,1460.066000,4.0060E-005,1460.066000,2.0730E-005,1460.066000,6.1100E-006,1460.066000,1.3576E001
1460.082500,8.3100E-005,1460.082500,3.9860E-005,1460.082500,2.0670E-005,1460.082500,6.1430E-006,1460.082500,1.3528E001
1460.099000,8.2950E-005,1460.099000,4.0010E-005,1460.099000,2.0710E-005,1460.099000,6.1710E-006,1460.099000,1.3442E001
1460.115500,8.3270E-005,1460.115500,4.0060E-005,1460.115500,2.0840E-005,1460.115500,6.1710E-006,1460.115500,1.3494E001
1460.132000,8.3200E-005,1460.132000,4.0010E-005,1460.132000,2.0790E-005,1460.132000,6.1770E-006,1460.132000,1.3469E001
1460.148500,8.3230E-005,1460.148500,3.9970E-005,1460.148500,2.0770E-005,1460.148500,6.1700E-006,1460.148500,1.3489E001
1460.165000,8.3400E-005,1460.165000,4.0060E-005,1460.165000,2.0750E-005,1460.165000,6.1980E-006,1460.165000,1.3456E001
1460.181500,8.3080E-005,1460.181500,4.0160E-005,1460.181500,2.0730E-005,1460.181500,6.3130E-006,1460.181500,1.3160E001
1460.198000,8.2750E-005,1460.198000,4.0060E-005,1460.198000,2.0670E-005,1460.198000,6.2180E-006,1460.198000,1.3308E001
1460.214500,8.2190E-005,1460.214500,3.9750E-005,1460.214500,2.0560E-005,1460.214500,6.1860E-006,1460.214500,1.3286E001
1460.231000,8.0800E-005,1460.231000,3.8910E-005,1460.231000,2.0260E-005,1460.231000,6.0140E-006,1460.231000,1.3435E001
1460.247500,7.9030E-005,1460.247500,3.7950E-005,1460.247500,1.9740E-005,1460.247500,6.0070E-006,1460.247500,1.3156E001
1460.264000,7.9240E-005,1460.264000,3.8140E-005,1460.264000,1.9800E-005,1460.264000,5.8780E-006,1460.264000,1.3481E001
1460.280500,8.1400E-005,1460.280500,3.9240E-005,1460.280500,2.0390E-005,1460.280500,6.1270E-006,1460.280500,1.3285E001
1460.297000,8.3420E-005,1460.297000,4.0140E-005,1460.297000,2.0790E-005,1460.297000,6.3040E-006,1460.297000,1.3233E001
1460.313500,8.4150E-005,1460.313500,4.0610E-005,1460.313500,2.1100E-005,1460.313500,6.3970E-006,1460.313500,1.3155E001
1460.330000,8.4580E-005,1460.330000,4.0890E-005,1460.330000,2.1120E-005,1460.330000,6.4350E-006,1460.330000,1.3144E001
1460.346500,8.5230E-005,1460.346500,4.0980E-005,1460.346500,2.1290E-005,1460.346500,6.4670E-006,1460.346500,1.3179E001
1460.363000,8.5530E-005,1460.363000,4.1240E-005,1460.363000,2.1350E-005,1460.363000,6.5300E-006,1460.363000,1.3098E001
1460.379500,8.5830E-005,1460.379500,4.1330E-005,1460.379500,2.1440E-005,1460.379500,6.6700E-006,1460.379500,1.2868E001
1460.396000,8.5850E-005,1460.396000,4.1460E-005,1460.396000,2.1500E-005,1460.396000,6.6570E-006,1460.396000,1.2896E001
1460.412500,8.6220E-005,1460.412500,4.1580E-005,1460.412500,2.1590E-005,1460.412500,6.7150E-006,1460.412500,1.2840E001
1460.429000,8.6300E-005,1460.429000,4.1610E-005,1460.429000,2.1630E-005,1460.429000,6.7370E-006,1460.429000,1.2810E001
1460.445500,8.6390E-005,1460.445500,4.1610E-005,1460.445500,2.1630E-005,1460.445500,6.6700E-006,1460.445500,1.2952E001
1460.462000,8.6630E-005,1460.462000,4.1690E-005,1460.462000,2.1590E-005,1460.462000,6.6960E-006,1460.462000,1.2938E001
1460.478500,8.7000E-005,1460.478500,4.1970E-005,1460.478500,2.1810E-005,1460.478500,6.7950E-006,1460.478500,1.2804E001
