
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1460.000000,9.2760E-005,1460.000000,4.2080E-005,1460.000000,1.5390E-005
1460.033000,9.3210E-005,1460.033000,4.2170E-005,1460.033000,1.5490E-005
1460.066000,9.3470E-005,1460.066000,4.2060E-005,1460.066000,1.5540E-005
1460.099000,9.3730E-005,1460.099000,4.2320E-005,1460.099000,1.5610E-005
1460.132000,9.4090E-005,1460.132000,4.2420E-005,1460.132000,1.5610E-005
1460.165000,9.3990E-005,1460.165000,4.2570E-005,1460.165000,1.5720E-005
1460.198000,9.3060E-005,1460.198000,4.2030E-005,1460.198000,1.5640E-005
1460.231000,9.1020E-005,1460.231000,4.1330E-005,1460.231000,1.5200E-005
1460.264000,9.3840E-005,1460.264000,4.2530E-005,1460.264000,1.5680E-005
1460.297000,9.5540E-005,1460.297000,4.3070E-005,1460.297000,1.5970E-005
1460.330000,9.6270E-005,1460.330000,4.3370E-005,1460.330000,1.6050E-005
1460.363000,9.6680E-005,1460.363000,4.3610E-005,1460.363000,1.6210E-005
1460.396000,9.7340E-005,1460.396000,4.3840E-005,1460.396000,1.6270E-005
1460.429000,9.7360E-005,1460.429000,4.4080E-005,1460.429000,1.6410E-005
1460.462000,9.7800E-005,1460.462000,4.4340E-005,1460.462000,1.6430E-005
1460.495000,9.8230E-005,1460.495000,4.4380E-005,1460.495000,1.6610E-005
1460.528000,9.8450E-005,1460.528000,4.4460E-005,1460.528000,1.6780E-005
1460.561000,9.8790E-005,1460.561000,4.4570E-005,1460.561000,1.6760E-005
1460.594000,9.9150E-005,1460.594000,4.4780E-005,1460.594000,1.6800E-005
1460.627000,9.9540E-005,1460.627000,4.5080E-005,1460.627000,1.6870E-005
1460.660000,9.9780E-005,1460.660000,4.5190E-005,1460.660000,1.6940E-005
1460.693000,9.9840E-005,1460.693000,4.5510E-005,1460.693000,1.7040E-005
1460.726000,1.0030E-004,1460.726000,4.5430E-005,1460.726000,1.7200E-005
1460.759000,1.0050E-004,1460.759000,4.5490E-005,1460.759000,1.7200E-005
1460.792000,1.0090E-004,1460.792000,4.5690E-005,1460.792000,1.7280E-005
1460.825000,1.0110E-004,1460.825000,4.5790E-005,1460.825000,1.7370E-005
1460.858000,1.0130E-004,1460.858000,4.5790E-005,1460.858000,1.7390E-005
1460.891000,1.0180E-004,1460.891000,4.5990E-005,1460.891000,1.7490E-005
1460.924000,1.0180E-004,1460.924000,4.6230E-005,1460.924000,1.7580E-005
1460.957000,1.0190E-004,1460.957000,4.6440E-005,1460.957000,1.7710E-005
1460.990000,1.0250E-004,1460.990000,4.6460E-005,1460.990000,1.7760E-005
