
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1460.000000,9.7950E-005,1460.000000,3.6250E-005,1460.000000,8.6860E-006,1460.000000,2.6990E-006
1460.033000,9.8200E-005,1460.033000,3.6350E-005,1460.033000,8.7790E-006,1460.033000,2.8280E-006
1460.066000,9.8660E-005,1460.066000,3.6570E-005,1460.066000,8.8280E-006,1460.066000,2.7640E-006
1460.099000,9.8940E-005,1460.099000,3.6720E-005,1460.099000,8.8630E-006,1460.099000,2.8560E-006
1460.132000,9.9000E-005,1460.132000,3.6850E-005,1460.132000,8.8130E-006,1460.132000,2.8200E-006
1460.165000,9.9410E-005,1460.165000,3.6940E-005,1460.165000,8.8930E-006,1460.165000,2.9640E-006
1460.198000,9.9280E-005,1460.198000,3.6910E-005,1460.198000,9.0110E-006,1460.198000,2.8890E-006
1460.231000,9.9240E-005,1460.231000,3.6660E-005,1460.231000,8.8990E-006,1460.231000,2.9060E-006
1460.264000,9.6700E-005,1460.264000,3.5820E-005,1460.264000,8.6450E-006,1460.264000,2.8330E-006
1460.297000,9.7490E-005,1460.297000,3.6290E-005,1460.297000,8.7620E-006,1460.297000,2.8300E-006
1460.330000,1.0030E-004,1460.330000,3.7410E-005,1460.330000,8.9850E-006,1460.330000,2.9810E-006
1460.363000,1.0150E-004,1460.363000,3.7780E-005,1460.363000,9.1830E-006,1460.363000,2.9660E-006
1460.396000,1.0200E-004,1460.396000,3.7990E-005,1460.396000,9.3560E-006,1460.396000,3.0480E-006
1460.429000,1.0250E-004,1460.429000,3.8210E-005,1460.429000,9.3000E-006,1460.429000,3.0440E-006
1460.462000,1.0270E-004,1460.462000,3.8330E-005,1460.462000,9.3840E-006,1460.462000,3.1080E-006
1460.495000,1.0350E-004,1460.495000,3.8590E-005,1460.495000,9.4450E-006,1460.495000,3.1920E-006
1460.528000,1.0390E-004,1460.528000,3.8760E-005,1460.528000,9.4550E-006,1460.528000,3.1940E-006
1460.561000,1.0440E-004,1460.561000,3.8960E-005,1460.561000,9.6140E-006,1460.561000,3.1860E-006
1460.594000,1.0450E-004,1460.594000,3.9040E-005,1460.594000,9.6300E-006,1460.594000,3.2400E-006
1460.627000,1.0450E-004,1460.627000,3.9300E-005,1460.627000,9.5260E-006,1460.627000,3.1660E-006
1460.660000,1.0510E-004,1460.660000,3.9260E-005,1460.660000,9.6600E-006,1460.660000,3.1790E-006
1460.693000,1.0540E-004,1460.693000,3.9490E-005,1460.693000,9.6640E-006,1460.693000,3.3090E-006
1460.726000,1.0570E-004,1460.726000,3.9540E-005,1460.726000,9.7310E-006,1460.726000,3.3110E-006
1460.759000,1.0640E-004,1460.759000,3.9730E-005,1460.759000,9.7870E-006,1460.759000,3.3970E-006
1460.792000,1.0650E-004,1460.792000,3.9990E-005,1460.792000,9.8170E-006,1460.792000,3.3710E-006
1460.825000,1.0660E-004,1460.825000,4.0070E-005,1460.825000,9.8870E-006,1460.825000,3.4570E-006
1460.858000,1.0690E-004,1460.858000,4.0180E-005,1460.858000,9.9390E-006,1460.858000,3.4140E-006
1460.891000,1.0710E-004,1460.891000,4.0270E-005,1460.891000,9.9440E-006,1460.891000,3.5210E-006
1460.924000,1.0740E-004,1460.924000,4.0220E-005,1460.924000,1.0040E-005,1460.924000,3.5340E-006
1460.957000,1.0770E-004,1460.957000,4.0530E-005,1460.957000,1.0010E-005,1460.957000,3.6100E-006
1460.990000,1.0820E-004,1460.990000,4.0780E-005,1460.990000,1.0040E-005,1460.990000,3.6090E-006
1461.023000,1.0860E-004,1461.023000,4.0940E-005,1461.023000,1.0120E-005,1461.023000,3.5990E-006
1461.056000,1.0870E-004,1461.056000,4.1020E-005,1461.056000,1.0200E-005,1461.056000,3.6910E-006
1461.089000,1.0890E-004,1461.089000,4.1120E-005,1461.089000,1.0230E-005,1461.089000,3.6500E-006
1461.122000,1.0910E-004,1461.122000,4.1170E-005,1461.122000,1.0150E-005,1461.122000,3.7000E-006
1461.155000,1.0940E-004,1461.155000,4.1320E-005,1461.155000,1.0290E-005,1461.155000,3.6780E-006
1461.188000,1.0900E-004,1461.188000,4.1020E-005,1461.188000,1.0180E-005,1461.188000,3.7710E-006
1461.221000,1.0910E-004,1461.221000,4.1140E-005,1461.221000,1.0240E-005,1461.221000,3.7620E-006
1461.254000,1.1060E-004,1461.254000,4.1830E-005,1461.254000,1.0450E-005,1461.254000,3.8120E-006
1461.287000,1.1130E-004,1461.287000,4.2140E-005,1461.287000,1.0450E-005,1461.287000,3.8390E-006
1461.320000,1.1190E-004,1461.320000,4.2370E-005,1461.320000,1.0560E-005,1461.320000,3.8570E-006
1461.353000,1.1230E-004,1461.353000,4.2260E-005,1461.353000,1.0540E-005,1461.353000,3.9550E-006
1461.386000,1.1270E-004,1461.386000,4.2560E-005,1461.386000,1.0610E-005,1461.386000,3.9470E-006
1461.419000,1.1310E-004,1461.419000,4.2610E-005,1461.419000,1.0700E-005,1461.419000,3.9840E-006
1461.452000,1.1360E-004,1461.452000,4.2860E-005,1461.452000,1.0750E-005,1461.452000,4.0010E-006
1461.485000,1.1400E-004,1461.485000,4.3340E-005,1461.485000,1.0780E-005,1461.485000,4.0840E-006
1461.518000,1.1440E-004,1461.518000,4.3290E-005,1461.518000,1.0880E-005,1461.518000,4.1640E-006
1461.551000,1.1480E-004,1461.551000,4.3490E-005,1461.551000,1.0890E-005,1461.551000,4.2110E-006
