
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1460.000000,8.3180E-005,1460.000000,2.9380E-005,1460.000000,2.3740E-006,1460.000000,3.1530E-006
1460.016500,8.3350E-005,1460.016500,2.9290E-005,1460.016500,2.4000E-006,1460.016500,3.2090E-006
1460.033000,8.3400E-005,1460.033000,2.9530E-005,1460.033000,2.4000E-006,1460.033000,3.1410E-006
1460.049500,8.3210E-005,1460.049500,2.9530E-005,1460.049500,2.4020E-006,1460.049500,3.1380E-006
1460.066000,8.3550E-005,1460.066000,2.9660E-005,1460.066000,2.4280E-006,1460.066000,3.3110E-006
1460.082500,8.3790E-005,1460.082500,2.9730E-005,1460.082500,2.4200E-006,1460.082500,3.3390E-006
1460.099000,8.4110E-005,1460.099000,2.9680E-005,1460.099000,2.3870E-006,1460.099000,3.3060E-006
1460.115500,8.4280E-005,1460.115500,2.9770E-005,1460.115500,2.4540E-006,1460.115500,3.3060E-006
1460.132000,8.4500E-005,1460.132000,2.9900E-005,1460.132000,2.3910E-006,1460.132000,3.3840E-006
1460.148500,8.4240E-005,1460.148500,2.9900E-005,1460.148500,2.5590E-006,1460.148500,3.3640E-006
1460.165000,8.4150E-005,1460.165000,2.9830E-005,1460.165000,2.4220E-006,1460.165000,3.3230E-006
1460.181500,8.3490E-005,1460.181500,2.9600E-005,1460.181500,2.4580E-006,1460.181500,3.2740E-006
1460.198000,8.2690E-005,1460.198000,2.9340E-005,1460.198000,2.4540E-006,1460.198000,3.2540E-006
1460.214500,8.2390E-005,1460.214500,2.9270E-005,1460.214500,2.4090E-006,1460.214500,3.2520E-006
1460.231000,8.3360E-005,1460.231000,2.9570E-005,1460.231000,2.3850E-006,1460.231000,3.3380E-006
1460.247500,8.4390E-005,1460.247500,2.9960E-005,1460.247500,2.4780E-006,1460.247500,3.3380E-006
1460.264000,8.5250E-005,1460.264000,3.0030E-005,1460.264000,2.5140E-006,1460.264000,3.4140E-006
1460.280500,8.5470E-005,1460.280500,3.0220E-005,1460.280500,2.4910E-006,1460.280500,3.4180E-006
1460.297000,8.5680E-005,1460.297000,3.0330E-005,1460.297000,2.5310E-006,1460.297000,3.3620E-006
1460.313500,8.5810E-005,1460.313500,3.0420E-005,1460.313500,2.5140E-006,1460.313500,3.5150E-006
