
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1460.000000,7.7310E-005,1460.000000,4.3280E-005,1460.000000,1.7863E000
1460.016500,7.7420E-005,1460.016500,4.3330E-005,1460.016500,1.7868E000
1460.033000,7.7420E-005,1460.033000,4.3310E-005,1460.033000,1.7876E000
1460.049500,7.7610E-005,1460.049500,4.3430E-005,1460.049500,1.7870E000
1460.066000,7.7870E-005,1460.066000,4.3540E-005,1460.066000,1.7885E000
1460.082500,7.7890E-005,1460.082500,4.3500E-005,1460.082500,1.7906E000
1460.099000,7.7930E-005,1460.099000,4.3650E-005,1460.099000,1.7853E000
1460.115500,7.8260E-005,1460.115500,4.3710E-005,1460.115500,1.7904E000
1460.132000,7.8300E-005,1460.132000,4.3820E-005,1460.132000,1.7869E000
1460.148500,7.8210E-005,1460.148500,4.3820E-005,1460.148500,1.7848E000
1460.165000,7.8600E-005,1460.165000,4.3860E-005,1460.165000,1.7921E000
1460.181500,7.8750E-005,1460.181500,4.3910E-005,1460.181500,1.7934E000
1460.198000,7.8810E-005,1460.198000,4.4040E-005,1460.198000,1.7895E000
1460.214500,7.9050E-005,1460.214500,4.4010E-005,1460.214500,1.7962E000
1460.231000,7.8820E-005,1460.231000,4.3990E-005,1460.231000,1.7918E000
1460.247500,7.8970E-005,1460.247500,4.4010E-005,1460.247500,1.7944E000
1460.264000,7.8840E-005,1460.264000,4.3990E-005,1460.264000,1.7922E000
1460.280500,7.8390E-005,1460.280500,4.3890E-005,1460.280500,1.7861E000
1460.297000,7.7740E-005,1460.297000,4.3430E-005,1460.297000,1.7900E000
1460.313500,7.6470E-005,1460.313500,4.2720E-005,1460.313500,1.7900E000
1460.330000,7.5350E-005,1460.330000,4.1970E-005,1460.330000,1.7953E000
1460.346500,7.5930E-005,1460.346500,4.2270E-005,1460.346500,1.7963E000
1460.363000,7.7610E-005,1460.363000,4.3240E-005,1460.363000,1.7949E000
1460.379500,7.9200E-005,1460.379500,4.4120E-005,1460.379500,1.7951E000
1460.396000,7.9890E-005,1460.396000,4.4530E-005,1460.396000,1.7941E000
1460.412500,8.0470E-005,1460.412500,4.4860E-005,1460.412500,1.7938E000
1460.429000,8.0770E-005,1460.429000,4.5030E-005,1460.429000,1.7937E000
1460.445500,8.0900E-005,1460.445500,4.5200E-005,1460.445500,1.7898E000
1460.462000,8.1180E-005,1460.462000,4.5220E-005,1460.462000,1.7952E000
1460.478500,8.1670E-005,1460.478500,4.5520E-005,1460.478500,1.7942E000
1460.495000,8.1500E-005,1460.495000,4.5540E-005,1460.495000,1.7896E000
1460.511500,8.1670E-005,1460.511500,4.5390E-005,1460.511500,1.7993E000
1460.528000,8.1800E-005,1460.528000,4.5580E-005,1460.528000,1.7946E000
1460.544500,8.1880E-005,1460.544500,4.5730E-005,1460.544500,1.7905E000
1460.561000,8.2210E-005,1460.561000,4.5730E-005,1460.561000,1.7977E000
1460.577500,8.2190E-005,1460.577500,4.5800E-005,1460.577500,1.7945E000
1460.594000,8.2590E-005,1460.594000,4.6070E-005,1460.594000,1.7927E000
1460.610500,8.2680E-005,1460.610500,4.6070E-005,1460.610500,1.7947E000
1460.627000,8.2890E-005,1460.627000,4.6180E-005,1460.627000,1.7949E000
1460.643500,8.2900E-005,1460.643500,4.6180E-005,1460.643500,1.7951E000
1460.660000,8.3090E-005,1460.660000,4.6420E-005,1460.660000,1.7900E000
1460.676500,8.3300E-005,1460.676500,4.6440E-005,1460.676500,1.7937E000
1460.693000,8.3390E-005,1460.693000,4.6500E-005,1460.693000,1.7933E000
1460.709500,8.3600E-005,1460.709500,4.6530E-005,1460.709500,1.7967E000
1460.726000,8.3710E-005,1460.726000,4.6700E-005,1460.726000,1.7925E000
1460.742500,8.3860E-005,1460.742500,4.6630E-005,1460.742500,1.7984E000
1460.759000,8.3840E-005,1460.759000,4.6790E-005,1460.759000,1.7918E000
1460.775500,8.4060E-005,1460.775500,4.6700E-005,1460.775500,1.8000E000
1460.792000,8.4230E-005,1460.792000,4.6870E-005,1460.792000,1.7971E000
1460.808500,8.4290E-005,1460.808500,4.6870E-005,1460.808500,1.7984E000
1460.825000,8.4170E-005,1460.825000,4.7060E-005,1460.825000,1.7886E000
1460.841500,8.4460E-005,1460.841500,4.7090E-005,1460.841500,1.7936E000
1460.858000,8.4700E-005,1460.858000,4.7130E-005,1460.858000,1.7972E000
1460.874500,8.4920E-005,1460.874500,4.7220E-005,1460.874500,1.7984E000
1460.891000,8.4920E-005,1460.891000,4.7260E-005,1460.891000,1.7969E000
