
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1460.000000,7.5910E-005,1460.000000,1.7500E-006,1460.000000,4.3377E001
1460.016500,7.6040E-005,1460.016500,1.7390E-006,1460.016500,4.3726E001
1460.033000,7.6100E-005,1460.033000,1.7750E-006,1460.033000,4.2873E001
1460.049500,7.6100E-005,1460.049500,1.7340E-006,1460.049500,4.3887E001
1460.066000,7.6280E-005,1460.066000,1.7460E-006,1460.066000,4.3688E001
1460.082500,7.6360E-005,1460.082500,1.8270E-006,1460.082500,4.1795E001
1460.099000,7.6700E-005,1460.099000,1.6910E-006,1460.099000,4.5358E001
1460.115500,7.6770E-005,1460.115500,1.8120E-006,1460.115500,4.2368E001
1460.132000,7.6840E-005,1460.132000,1.8150E-006,1460.132000,4.2336E001
1460.148500,7.7160E-005,1460.148500,1.7840E-006,1460.148500,4.3251E001
1460.165000,7.7120E-005,1460.165000,1.7940E-006,1460.165000,4.2988E001
1460.181500,7.7120E-005,1460.181500,1.7870E-006,1460.181500,4.3156E001
1460.198000,7.7220E-005,1460.198000,1.8170E-006,1460.198000,4.2499E001
1460.214500,7.7480E-005,1460.214500,1.8540E-006,1460.214500,4.1791E001
1460.231000,7.7520E-005,1460.231000,1.7850E-006,1460.231000,4.3429E001
1460.247500,7.7520E-005,1460.247500,1.8340E-006,1460.247500,4.2268E001
1460.264000,7.7460E-005,1460.264000,1.7410E-006,1460.264000,4.4492E001
1460.280500,7.7240E-005,1460.280500,1.8110E-006,1460.280500,4.2650E001
1460.297000,7.6840E-005,1460.297000,1.7980E-006,1460.297000,4.2736E001
1460.313500,7.5720E-005,1460.313500,1.7880E-006,1460.313500,4.2349E001
1460.330000,7.4430E-005,1460.330000,1.6840E-006,1460.330000,4.4198E001
1460.346500,7.4360E-005,1460.346500,1.7440E-006,1460.346500,4.2638E001
1460.363000,7.5870E-005,1460.363000,1.7460E-006,1460.363000,4.3454E001
1460.379500,7.7390E-005,1460.379500,1.8020E-006,1460.379500,4.2947E001
1460.396000,7.8260E-005,1460.396000,1.7790E-006,1460.396000,4.3991E001
1460.412500,7.8960E-005,1460.412500,1.8680E-006,1460.412500,4.2270E001
1460.429000,7.9250E-005,1460.429000,1.8310E-006,1460.429000,4.3282E001
1460.445500,7.9550E-005,1460.445500,1.8320E-006,1460.445500,4.3422E001
1460.462000,7.9730E-005,1460.462000,1.8830E-006,1460.462000,4.2342E001
1460.478500,7.9840E-005,1460.478500,1.7900E-006,1460.478500,4.4603E001
1460.495000,7.9990E-005,1460.495000,1.8580E-006,1460.495000,4.3052E001
1460.511500,8.0180E-005,1460.511500,1.9250E-006,1460.511500,4.1652E001
1460.528000,8.0270E-005,1460.528000,1.8370E-006,1460.528000,4.3696E001
1460.544500,8.0400E-005,1460.544500,1.8280E-006,1460.544500,4.3982E001
1460.561000,8.0680E-005,1460.561000,1.8630E-006,1460.561000,4.3306E001
1460.577500,8.0740E-005,1460.577500,1.8340E-006,1460.577500,4.4024E001
1460.594000,8.1130E-005,1460.594000,1.9080E-006,1460.594000,4.2521E001
1460.610500,8.1090E-005,1460.610500,1.8510E-006,1460.610500,4.3809E001
1460.627000,8.1480E-005,1460.627000,1.9170E-006,1460.627000,4.2504E001
1460.643500,8.1630E-005,1460.643500,1.9230E-006,1460.643500,4.2449E001
1460.660000,8.1760E-005,1460.660000,1.9060E-006,1460.660000,4.2896E001
1460.676500,8.1820E-005,1460.676500,1.9600E-006,1460.676500,4.1745E001
1460.693000,8.1970E-005,1460.693000,1.9360E-006,1460.693000,4.2340E001
1460.709500,8.1970E-005,1460.709500,1.9430E-006,1460.709500,4.2187E001
1460.726000,8.2320E-005,1460.726000,1.9150E-006,1460.726000,4.2987E001
1460.742500,8.2400E-005,1460.742500,1.9340E-006,1460.742500,4.2606E001
1460.759000,8.2510E-005,1460.759000,1.8680E-006,1460.759000,4.4170E001
1460.775500,8.2470E-005,1460.775500,1.9190E-006,1460.775500,4.2976E001
1460.792000,8.2420E-005,1460.792000,1.9400E-006,1460.792000,4.2485E001
1460.808500,8.2900E-005,1460.808500,1.9540E-006,1460.808500,4.2426E001
1460.825000,8.2870E-005,1460.825000,1.9490E-006,1460.825000,4.2519E001
1460.841500,8.3220E-005,1460.841500,1.9230E-006,1460.841500,4.3276E001
1460.858000,8.3130E-005,1460.858000,1.9640E-006,1460.858000,4.2327E001
1460.874500,8.3260E-005,1460.874500,1.9230E-006,1460.874500,4.3297E001
1460.891000,8.3410E-005,1460.891000,1.9300E-006,1460.891000,4.3218E001
1460.907500,8.3520E-005,1460.907500,1.9790E-006,1460.907500,4.2203E001
1460.924000,8.3540E-005,1460.924000,1.9080E-006,1460.924000,4.3784E001
1460.940500,8.3670E-005,1460.940500,1.9710E-006,1460.940500,4.2451E001
1460.957000,8.3730E-005,1460.957000,2.0090E-006,1460.957000,4.1677E001
1460.973500,8.3710E-005,1460.973500,1.9900E-006,1460.973500,4.2065E001
1460.990000,8.4140E-005,1460.990000,1.9400E-006,1460.990000,4.3371E001
1461.006500,8.4060E-005,1461.006500,1.9710E-006,1461.006500,4.2648E001
1461.023000,8.4140E-005,1461.023000,1.9970E-006,1461.023000,4.2133E001
1461.039500,8.4320E-005,1461.039500,1.9540E-006,1461.039500,4.3153E001
1461.056000,8.4540E-005,1461.056000,1.9500E-006,1461.056000,4.3354E001
1461.072500,8.4500E-005,1461.072500,1.9760E-006,1461.072500,4.2763E001
1461.089000,8.4970E-005,1461.089000,1.9520E-006,1461.089000,4.3530E001
1461.105500,8.5040E-005,1461.105500,1.9700E-006,1461.105500,4.3168E001
1461.122000,8.4930E-005,1461.122000,2.0430E-006,1461.122000,4.1571E001
1461.138500,8.5150E-005,1461.138500,1.9850E-006,1461.138500,4.2897E001
1461.155000,8.5300E-005,1461.155000,2.0210E-006,1461.155000,4.2207E001
1461.171500,8.5340E-005,1461.171500,2.0360E-006,1461.171500,4.1916E001
1461.188000,8.5510E-005,1461.188000,2.0340E-006,1461.188000,4.2040E001
1461.204500,8.5380E-005,1461.204500,2.0420E-006,1461.204500,4.1812E001
1461.221000,8.5250E-005,1461.221000,1.9910E-006,1461.221000,4.2818E001
1461.237500,8.5140E-005,1461.237500,2.0020E-006,1461.237500,4.2527E001
1461.254000,8.4560E-005,1461.254000,1.9840E-006,1461.254000,4.2621E001
1461.270500,8.4330E-005,1461.270500,1.9780E-006,1461.270500,4.2634E001
1461.287000,8.4870E-005,1461.287000,2.0230E-006,1461.287000,4.1953E001
1461.303500,8.5600E-005,1461.303500,2.0060E-006,1461.303500,4.2672E001
