
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1460.000000,7.1450E-005,1460.000000,1.0310E-006,1460.000000,-2.1740E-008,1460.000000,7.1450E007
1460.082500,7.2060E-005,1460.082500,1.0750E-006,1460.082500,-2.7310E-008,1460.082500,7.2060E007
1460.165000,7.2570E-005,1460.165000,1.1250E-006,1460.165000,1.5570E-008,1460.165000,4.6609E003
1460.247500,7.2980E-005,1460.247500,1.0780E-006,1460.247500,1.0020E-008,1460.247500,7.2834E003
1460.330000,7.3840E-005,1460.330000,1.1000E-006,1460.330000,-4.1330E-009,1460.330000,7.3840E007
1460.412500,7.4060E-005,1460.412500,1.0650E-006,1460.412500,-1.5680E-008,1460.412500,7.4060E007
1460.495000,7.4810E-005,1460.495000,1.1030E-006,1460.495000,5.4640E-008,1460.495000,1.3691E003
1460.577500,7.4850E-005,1460.577500,1.0820E-006,1460.577500,-3.3790E-008,1460.577500,7.4850E007
1460.660000,7.0080E-005,1460.660000,1.0340E-006,1460.660000,1.9080E-008,1460.660000,3.6730E003
1460.742500,7.6290E-005,1460.742500,1.0910E-006,1460.742500,-4.0100E-009,1460.742500,7.6290E007
1460.825000,7.7560E-005,1460.825000,1.1230E-006,1460.825000,4.1790E-010,1460.825000,1.8559E005
1460.907500,7.8290E-005,1460.907500,1.1350E-006,1460.907500,1.8910E-008,1460.907500,4.1401E003
1460.990000,7.9240E-005,1460.990000,1.1460E-006,1460.990000,7.1040E-010,1460.990000,1.1154E005
1461.072500,7.9690E-005,1461.072500,1.1270E-006,1461.072500,7.8590E-009,1461.072500,1.0140E004
1461.155000,8.0350E-005,1461.155000,1.1650E-006,1461.155000,4.1920E-008,1461.155000,1.9167E003
1461.237500,8.0980E-005,1461.237500,1.2110E-006,1461.237500,4.1710E-008,1461.237500,1.9415E003
1461.320000,8.1490E-005,1461.320000,1.1940E-006,1461.320000,3.8500E-008,1461.320000,2.1166E003
1461.402500,8.2200E-005,1461.402500,1.1720E-006,1461.402500,3.8700E-008,1461.402500,2.1240E003
1461.485000,8.2760E-005,1461.485000,1.1840E-006,1461.485000,3.4050E-008,1461.485000,2.4305E003
1461.567500,8.1300E-005,1461.567500,1.1870E-006,1461.567500,2.2080E-008,1461.567500,3.6821E003
1461.650000,8.3420E-005,1461.650000,1.1970E-006,1461.650000,1.7360E-008,1461.650000,4.8053E003
1461.732500,8.4960E-005,1461.732500,1.2240E-006,1461.732500,4.6700E-008,1461.732500,1.8193E003
1461.815000,8.5350E-005,1461.815000,1.2090E-006,1461.815000,3.6820E-008,1461.815000,2.3180E003
1461.897500,8.6680E-005,1461.897500,1.2350E-006,1461.897500,3.3350E-008,1461.897500,2.5991E003
1461.980000,8.7000E-005,1461.980000,1.1530E-006,1461.980000,4.5100E-008,1461.980000,1.9290E003
1462.062500,8.7460E-005,1462.062500,1.2280E-006,1462.062500,7.5940E-008,1462.062500,1.1517E003
1462.145000,8.8270E-005,1462.145000,1.2210E-006,1462.145000,8.1850E-008,1462.145000,1.0784E003
1462.227500,8.8960E-005,1462.227500,1.2270E-006,1462.227500,6.4560E-008,1462.227500,1.3779E003
1462.310000,8.9380E-005,1462.310000,1.1880E-006,1462.310000,1.0060E-007,1462.310000,8.8847E002
1462.392500,9.0110E-005,1462.392500,1.2410E-006,1462.392500,4.2680E-008,1462.392500,2.1113E003
1462.475000,9.0580E-005,1462.475000,1.2640E-006,1462.475000,7.5100E-008,1462.475000,1.2061E003
1462.557500,9.1160E-005,1462.557500,1.2920E-006,1462.557500,6.5230E-008,1462.557500,1.3975E003
1462.640000,9.2060E-005,1462.640000,1.2250E-006,1462.640000,6.8660E-008,1462.640000,1.3408E003
1462.722500,9.2530E-005,1462.722500,1.2400E-006,1462.722500,8.1310E-008,1462.722500,1.1380E003
1462.805000,9.3600E-005,1462.805000,1.2430E-006,1462.805000,8.7700E-008,1462.805000,1.0673E003
1462.887500,9.4230E-005,1462.887500,1.2260E-006,1462.887500,1.0320E-007,1462.887500,9.1308E002
1462.970000,9.4770E-005,1462.970000,1.2440E-006,1462.970000,9.1040E-008,1462.970000,1.0410E003
1463.052500,9.6020E-005,1463.052500,1.3020E-006,1463.052500,1.1720E-007,1463.052500,8.1928E002
1463.135000,9.6190E-005,1463.135000,1.2240E-006,1463.135000,7.4370E-008,1463.135000,1.2934E003
1463.217500,9.6680E-005,1463.217500,1.2790E-006,1463.217500,8.6170E-008,1463.217500,1.1220E003
1463.300000,9.7350E-005,1463.300000,1.2370E-006,1463.300000,1.2260E-007,1463.300000,7.9405E002
1463.382500,9.7410E-005,1463.382500,1.2110E-006,1463.382500,1.0060E-007,1463.382500,9.6829E002
1463.465000,9.7730E-005,1463.465000,1.2330E-006,1463.465000,1.1920E-007,1463.465000,8.1988E002
1463.547500,9.0420E-005,1463.547500,1.1600E-006,1463.547500,1.2080E-007,1463.547500,7.4851E002
1463.630000,9.8590E-005,1463.630000,1.2330E-006,1463.630000,1.3130E-007,1463.630000,7.5088E002
1463.712500,1.0050E-004,1463.712500,1.2510E-006,1463.712500,1.0590E-007,1463.712500,9.4901E002
1463.795000,1.0100E-004,1463.795000,1.3180E-006,1463.795000,1.3670E-007,1463.795000,7.3884E002
1463.877500,1.0210E-004,1463.877500,1.2460E-006,1463.877500,1.4060E-007,1463.877500,7.2617E002
1463.960000,1.0310E-004,1463.960000,1.3060E-006,1463.960000,1.2480E-007,1463.960000,8.2612E002
1464.042500,1.0390E-004,1464.042500,1.2600E-006,1464.042500,1.4940E-007,1464.042500,6.9545E002
1464.125000,1.0440E-004,1464.125000,1.3490E-006,1464.125000,1.5290E-007,1464.125000,6.8280E002
1464.207500,1.0530E-004,1464.207500,1.2390E-006,1464.207500,1.6450E-007,1464.207500,6.4012E002
1464.290000,1.0550E-004,1464.290000,1.2460E-006,1464.290000,1.3170E-007,1464.290000,8.0106E002
1464.372500,1.0630E-004,1464.372500,1.2840E-006,1464.372500,1.6060E-007,1464.372500,6.6189E002
1464.455000,1.0680E-004,1464.455000,1.2490E-006,1464.455000,1.3090E-007,1464.455000,8.1589E002
1464.537500,1.0760E-004,1464.537500,1.3050E-006,1464.537500,1.6470E-007,1464.537500,6.5331E002
1464.620000,1.0810E-004,1464.620000,1.3580E-006,1464.620000,1.7810E-007,1464.620000,6.0696E002
1464.702500,1.0890E-004,1464.702500,1.3090E-006,1464.702500,1.6240E-007,1464.702500,6.7057E002
1464.785000,1.0950E-004,1464.785000,1.2950E-006,1464.785000,1.7140E-007,1464.785000,6.3886E002
1464.867500,1.1020E-004,1464.867500,1.2850E-006,1464.867500,2.0870E-007,1464.867500,5.2803E002
1464.950000,1.1130E-004,1464.950000,1.3280E-006,1464.950000,1.9900E-007,1464.950000,5.5930E002
