
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1460.000000,7.2440E-005,1460.000000,5.9430E-007,1460.000000,3.3960E-007,1460.000000,2.1331E002
1460.082500,7.2600E-005,1460.082500,5.6450E-007,1460.082500,2.5250E-007,1460.082500,2.8752E002
1460.165000,7.3370E-005,1460.165000,5.7490E-007,1460.165000,2.8220E-007,1460.165000,2.5999E002
1460.247500,7.3670E-005,1460.247500,5.9710E-007,1460.247500,2.6800E-007,1460.247500,2.7489E002
1460.330000,7.4470E-005,1460.330000,5.7490E-007,1460.330000,3.3790E-007,1460.330000,2.2039E002
1460.412500,7.4900E-005,1460.412500,6.6420E-007,1460.412500,2.9020E-007,1460.412500,2.5810E002
1460.495000,7.5610E-005,1460.495000,6.0420E-007,1460.495000,3.1900E-007,1460.495000,2.3702E002
1460.577500,7.5260E-005,1460.577500,6.4940E-007,1460.577500,3.5150E-007,1460.577500,2.1411E002
1460.660000,7.2190E-005,1460.660000,5.6630E-007,1460.660000,2.7560E-007,1460.660000,2.6194E002
1460.742500,7.7370E-005,1460.742500,6.1540E-007,1460.742500,3.9090E-007,1460.742500,1.9793E002
1460.825000,7.8250E-005,1460.825000,6.8400E-007,1460.825000,3.1660E-007,1460.825000,2.4716E002
1460.907500,7.9410E-005,1460.907500,7.3860E-007,1460.907500,3.4610E-007,1460.907500,2.2944E002
1460.990000,8.0140E-005,1460.990000,6.6640E-007,1460.990000,3.2120E-007,1460.990000,2.4950E002
1461.072500,8.0590E-005,1461.072500,6.9130E-007,1461.072500,3.2830E-007,1461.072500,2.4548E002
1461.155000,8.1120E-005,1461.155000,6.8230E-007,1461.155000,2.9620E-007,1461.155000,2.7387E002
1461.237500,8.1750E-005,1461.237500,7.4610E-007,1461.237500,3.8330E-007,1461.237500,2.1328E002
1461.320000,8.2160E-005,1461.320000,7.2980E-007,1461.320000,3.7410E-007,1461.320000,2.1962E002
1461.402500,8.2930E-005,1461.402500,6.1010E-007,1461.402500,3.8310E-007,1461.402500,2.1647E002
1461.485000,8.3490E-005,1461.485000,7.6950E-007,1461.485000,4.1040E-007,1461.485000,2.0344E002
1461.567500,8.1810E-005,1461.567500,6.5150E-007,1461.567500,4.2030E-007,1461.567500,1.9465E002
1461.650000,8.4920E-005,1461.650000,7.7830E-007,1461.650000,3.7320E-007,1461.650000,2.2755E002
1461.732500,8.5800E-005,1461.732500,7.2230E-007,1461.732500,4.3530E-007,1461.732500,1.9711E002
1461.815000,8.6320E-005,1461.815000,7.3020E-007,1461.815000,4.4280E-007,1461.815000,1.9494E002
1461.897500,8.7480E-005,1461.897500,7.9550E-007,1461.897500,4.7030E-007,1461.897500,1.8601E002
1461.980000,8.7780E-005,1461.980000,8.0470E-007,1461.980000,4.3030E-007,1461.980000,2.0400E002
1462.062500,8.8610E-005,1462.062500,8.1510E-007,1462.062500,4.0000E-007,1462.062500,2.2153E002
1462.145000,8.9690E-005,1462.145000,7.7940E-007,1462.145000,4.4190E-007,1462.145000,2.0296E002
1462.227500,8.9860E-005,1462.227500,8.3400E-007,1462.227500,4.6880E-007,1462.227500,1.9168E002
1462.310000,9.0750E-005,1462.310000,7.9650E-007,1462.310000,4.5280E-007,1462.310000,2.0042E002
1462.392500,9.1200E-005,1462.392500,8.2230E-007,1462.392500,5.1810E-007,1462.392500,1.7603E002
1462.475000,9.1760E-005,1462.475000,8.0770E-007,1462.475000,4.5930E-007,1462.475000,1.9978E002
1462.557500,9.2430E-005,1462.557500,8.7790E-007,1462.557500,4.8480E-007,1462.557500,1.9066E002
1462.640000,9.3220E-005,1462.640000,8.1580E-007,1462.640000,5.0370E-007,1462.640000,1.8507E002
1462.722500,9.3970E-005,1462.722500,8.7810E-007,1462.722500,5.5840E-007,1462.722500,1.6828E002
1462.805000,9.4910E-005,1462.805000,8.5000E-007,1462.805000,5.9450E-007,1462.805000,1.5965E002
1462.887500,9.5310E-005,1462.887500,8.3760E-007,1462.887500,5.7590E-007,1462.887500,1.6550E002
1462.970000,9.6360E-005,1462.970000,8.5670E-007,1462.970000,5.5680E-007,1462.970000,1.7306E002
1463.052500,9.7350E-005,1463.052500,8.9640E-007,1463.052500,5.4590E-007,1463.052500,1.7833E002
1463.135000,9.7690E-005,1463.135000,8.8330E-007,1463.135000,6.3710E-007,1463.135000,1.5334E002
