
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(J),Level(J)
1460.000000,7.5390E-005,1460.000000,1.1430E-007,1460.000000,6.3880E-007,1460.000000,6.5958E002
1460.016500,7.5710E-005,1460.016500,4.7260E-008,1460.016500,6.2520E-007,1460.016500,1.6020E003
1460.033000,7.5500E-005,1460.033000,7.1780E-008,1460.033000,5.8240E-007,1460.033000,1.0518E003
1460.049500,7.5710E-005,1460.049500,1.3280E-007,1460.049500,6.5820E-007,1460.049500,5.7011E002
1460.066000,7.5890E-005,1460.066000,8.1080E-008,1460.066000,6.4760E-007,1460.066000,9.3599E002
1460.082500,7.5950E-005,1460.082500,8.8440E-008,1460.082500,6.1320E-007,1460.082500,8.5877E002
1460.099000,7.5990E-005,1460.099000,7.8620E-008,1460.099000,6.5320E-007,1460.099000,9.6655E002
1460.115500,7.6280E-005,1460.115500,9.1510E-008,1460.115500,6.4720E-007,1460.115500,8.3357E002
1460.132000,7.6410E-005,1460.132000,1.0380E-007,1460.132000,6.1770E-007,1460.132000,7.3613E002
1460.148500,7.6450E-005,1460.148500,1.2020E-007,1460.148500,6.0050E-007,1460.148500,6.3602E002
1460.165000,7.6660E-005,1460.165000,8.2190E-008,1460.165000,6.6200E-007,1460.165000,9.3272E002
1460.181500,7.6920E-005,1460.181500,1.1250E-007,1460.181500,6.1430E-007,1460.181500,6.8373E002
1460.198000,7.6840E-005,1460.198000,1.3490E-007,1460.198000,6.2520E-007,1460.198000,5.6961E002
1460.214500,7.6860E-005,1460.214500,9.5900E-008,1460.214500,7.1480E-007,1460.214500,8.0146E002
1460.231000,7.7110E-005,1460.231000,8.1530E-008,1460.231000,6.0690E-007,1460.231000,9.4579E002
1460.247500,7.7200E-005,1460.247500,8.0040E-008,1460.247500,6.8180E-007,1460.247500,9.6452E002
1460.264000,7.7010E-005,1460.264000,8.7700E-008,1460.264000,6.2010E-007,1460.264000,8.7811E002
1460.280500,7.6860E-005,1460.280500,7.8490E-008,1460.280500,6.2890E-007,1460.280500,9.7923E002
1460.297000,7.6380E-005,1460.297000,1.0910E-007,1460.297000,6.0850E-007,1460.297000,7.0009E002
1460.313500,7.5560E-005,1460.313500,1.0800E-007,1460.313500,6.0610E-007,1460.313500,6.9963E002
1460.330000,7.4150E-005,1460.330000,8.7010E-008,1460.330000,6.0610E-007,1460.330000,8.5220E002
1460.346500,7.3710E-005,1460.346500,8.1980E-008,1460.346500,6.1550E-007,1460.346500,8.9912E002
1460.363000,7.4900E-005,1460.363000,1.3140E-007,1460.363000,5.8390E-007,1460.363000,5.7002E002
1460.379500,7.6830E-005,1460.379500,7.4300E-008,1460.379500,5.4480E-007,1460.379500,1.0341E003
1460.396000,7.7780E-005,1460.396000,1.2270E-007,1460.396000,6.4250E-007,1460.396000,6.3390E002
1460.412500,7.8340E-005,1460.412500,1.0700E-007,1460.412500,6.5130E-007,1460.412500,7.3215E002
1460.429000,7.8660E-005,1460.429000,8.7850E-008,1460.429000,6.1840E-007,1460.429000,8.9539E002
1460.445500,7.9010E-005,1460.445500,1.1270E-007,1460.445500,6.0740E-007,1460.445500,7.0106E002
1460.462000,7.9260E-005,1460.462000,9.9350E-008,1460.462000,6.1000E-007,1460.462000,7.9779E002
1460.478500,7.9540E-005,1460.478500,8.2810E-008,1460.478500,6.3560E-007,1460.478500,9.6051E002
1460.495000,7.9610E-005,1460.495000,9.4870E-008,1460.495000,6.2960E-007,1460.495000,8.3915E002
1460.511500,7.9540E-005,1460.511500,1.0370E-007,1460.511500,6.3820E-007,1460.511500,7.6702E002
1460.528000,7.9610E-005,1460.528000,1.0970E-007,1460.528000,6.5350E-007,1460.528000,7.2571E002
1460.544500,7.9750E-005,1460.544500,1.0870E-007,1460.544500,5.9930E-007,1460.544500,7.3367E002
1460.561000,8.0040E-005,1460.561000,9.7610E-008,1460.561000,6.1340E-007,1460.561000,8.2000E002
1460.577500,8.0290E-005,1460.577500,1.1000E-007,1460.577500,7.0140E-007,1460.577500,7.2991E002
1460.594000,8.0510E-005,1460.594000,1.0490E-007,1460.594000,5.8080E-007,1460.594000,7.6749E002
1460.610500,8.0740E-005,1460.610500,1.0970E-007,1460.610500,6.8530E-007,1460.610500,7.3601E002
1460.627000,8.1050E-005,1460.627000,9.7000E-008,1460.627000,6.2720E-007,1460.627000,8.3557E002
1460.643500,8.1220E-005,1460.643500,1.2200E-007,1460.643500,6.5350E-007,1460.643500,6.6574E002
1460.660000,8.1220E-005,1460.660000,1.1940E-007,1460.660000,6.6550E-007,1460.660000,6.8023E002
1460.676500,8.1150E-005,1460.676500,9.6870E-008,1460.676500,6.5750E-007,1460.676500,8.3772E002
1460.693000,8.1330E-005,1460.693000,1.0240E-007,1460.693000,6.8770E-007,1460.693000,7.9424E002
1460.709500,8.1600E-005,1460.709500,1.1180E-007,1460.709500,6.3750E-007,1460.709500,7.2987E002
1460.726000,8.1610E-005,1460.726000,7.0190E-008,1460.726000,6.4360E-007,1460.726000,1.1627E003
1460.742500,8.1800E-005,1460.742500,1.2380E-007,1460.742500,6.4330E-007,1460.742500,6.6074E002
1460.759000,8.1690E-005,1460.759000,1.2530E-007,1460.759000,6.3500E-007,1460.759000,6.5196E002
1460.775500,8.1840E-005,1460.775500,7.5730E-008,1460.775500,6.8160E-007,1460.775500,1.0807E003
1460.792000,8.2160E-005,1460.792000,9.4300E-008,1460.792000,6.7200E-007,1460.792000,8.7126E002
1460.808500,8.2210E-005,1460.808500,1.1730E-007,1460.808500,6.5540E-007,1460.808500,7.0085E002
1460.825000,8.2470E-005,1460.825000,9.5820E-008,1460.825000,6.3170E-007,1460.825000,8.6068E002
1460.841500,8.2490E-005,1460.841500,8.5300E-008,1460.841500,6.4330E-007,1460.841500,9.6706E002
1460.858000,8.2750E-005,1460.858000,1.2020E-007,1460.858000,6.6620E-007,1460.858000,6.8844E002
1460.874500,8.2920E-005,1460.874500,1.3450E-007,1460.874500,6.2920E-007,1460.874500,6.1651E002
1460.891000,8.3110E-005,1460.891000,8.5240E-008,1460.891000,6.3340E-007,1460.891000,9.7501E002
1460.907500,8.3030E-005,1460.907500,9.9890E-008,1460.907500,6.1560E-007,1460.907500,8.3121E002
1460.924000,8.3350E-005,1460.924000,1.0700E-007,1460.924000,6.0630E-007,1460.924000,7.7897E002
1460.940500,8.3170E-005,1460.940500,1.1390E-007,1460.940500,6.7690E-007,1460.940500,7.3020E002
1460.957000,8.3260E-005,1460.957000,1.3860E-007,1460.957000,6.2030E-007,1460.957000,6.0072E002
1460.973500,8.3390E-005,1460.973500,1.1940E-007,1460.973500,6.5540E-007,1460.973500,6.9841E002
1460.990000,8.3430E-005,1460.990000,1.0040E-007,1460.990000,6.7110E-007,1460.990000,8.3098E002
1461.006500,8.3500E-005,1461.006500,9.8730E-008,1461.006500,6.8420E-007,1461.006500,8.4574E002
1461.023000,8.3540E-005,1461.023000,8.1170E-008,1461.023000,6.0810E-007,1461.023000,1.0292E003
1461.039500,8.3670E-005,1461.039500,1.0430E-007,1461.039500,6.8010E-007,1461.039500,8.0221E002
1461.056000,8.3920E-005,1461.056000,1.0090E-007,1461.056000,5.9910E-007,1461.056000,8.3171E002
1461.072500,8.4200E-005,1461.072500,7.4700E-008,1461.072500,6.8210E-007,1461.072500,1.1272E003
1461.089000,8.4390E-005,1461.089000,1.0750E-007,1461.089000,6.6450E-007,1461.089000,7.8502E002
1461.105500,8.4540E-005,1461.105500,1.4850E-007,1461.105500,6.9750E-007,1461.105500,5.6929E002
1461.122000,8.4460E-005,1461.122000,9.8210E-008,1461.122000,6.1950E-007,1461.122000,8.5999E002
1461.138500,8.4720E-005,1461.138500,9.6800E-008,1461.138500,6.7180E-007,1461.138500,8.7521E002
1461.155000,8.4820E-005,1461.155000,9.6280E-008,1461.155000,7.2640E-007,1461.155000,8.8097E002
1461.171500,8.4930E-005,1461.171500,1.3800E-007,1461.171500,6.7460E-007,1461.171500,6.1543E002
1461.188000,8.4720E-005,1461.188000,1.1420E-007,1461.188000,7.2810E-007,1461.188000,7.4186E002
1461.204500,8.4690E-005,1461.204500,1.2080E-007,1461.204500,6.6290E-007,1461.204500,7.0108E002
1461.221000,8.4780E-005,1461.221000,1.0860E-007,1461.221000,7.0610E-007,1461.221000,7.8066E002
1461.237500,8.4440E-005,1461.237500,1.0080E-007,1461.237500,6.8380E-007,1461.237500,8.3770E002
1461.254000,8.4220E-005,1461.254000,1.3690E-007,1461.254000,6.8080E-007,1461.254000,6.1519E002
1461.270500,8.3710E-005,1461.270500,1.0600E-007,1461.270500,6.3520E-007,1461.270500,7.8972E002
1461.287000,8.4290E-005,1461.287000,1.2380E-007,1461.287000,5.7400E-007,1461.287000,6.8086E002
1461.303500,8.5010E-005,1461.303500,9.8190E-008,1461.303500,6.7370E-007,1461.303500,8.6577E002
1461.320000,8.5700E-005,1461.320000,1.0940E-007,1461.320000,6.6010E-007,1461.320000,7.8336E002
