
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-4.3730E-008,1400.000000,-7.1460E-008,1400.000000,1.0000E000
1400.125000,-1.9470E-008,1400.125000,-9.1470E-008,1400.125000,1.0000E000
1400.250000,-6.3680E-008,1400.250000,-1.1970E-007,1400.250000,1.0000E000
1400.375000,-2.7430E-008,1400.375000,-6.9500E-008,1400.375000,1.0000E000
1400.500000,-4.3670E-008,1400.500000,-9.4260E-008,1400.500000,1.0000E000
1400.625000,-5.2440E-008,1400.625000,-9.3430E-008,1400.625000,1.0000E000
1400.750000,-3.1070E-008,1400.750000,-9.9230E-008,1400.750000,1.0000E000
1400.875000,-2.6780E-008,1400.875000,-8.2630E-008,1400.875000,1.0000E000
1401.000000,-8.6050E-008,1401.000000,-6.6300E-008,1401.000000,1.0000E000
1401.125000,-5.2560E-008,1401.125000,-9.7910E-008,1401.125000,1.0000E000
1401.250000,-4.4240E-008,1401.250000,-7.9210E-008,1401.250000,1.0000E000
1401.375000,-1.8210E-008,1401.375000,-1.0780E-007,1401.375000,1.0000E000
1401.500000,-2.3400E-008,1401.500000,-7.1260E-008,1401.500000,1.0000E000
1401.625000,-6.8250E-008,1401.625000,-9.2690E-008,1401.625000,1.0000E000
1401.750000,-4.7390E-008,1401.750000,-1.0850E-007,1401.750000,1.0000E000
1401.875000,-5.5350E-009,1401.875000,-1.0280E-007,1401.875000,1.0000E000
1402.000000,-2.8080E-008,1402.000000,-6.4700E-008,1402.000000,1.0000E000
1402.125000,-2.0870E-008,1402.125000,-6.3220E-008,1402.125000,1.0000E000
1402.250000,-1.6970E-008,1402.250000,-1.0460E-007,1402.250000,1.0000E000
1402.375000,-1.0400E-008,1402.375000,-8.5960E-008,1402.375000,1.0000E000
1402.500000,-2.5560E-008,1402.500000,-7.5900E-008,1402.500000,1.0000E000
1402.625000,-4.6320E-008,1402.625000,-9.8120E-008,1402.625000,1.0000E000
1402.750000,-3.7010E-008,1402.750000,-8.3260E-008,1402.750000,1.0000E000
1402.875000,-3.3760E-008,1402.875000,-9.8960E-008,1402.875000,1.0000E000
1403.000000,-3.1540E-008,1403.000000,-7.8410E-008,1403.000000,1.0000E000
1403.125000,-3.4120E-008,1403.125000,-8.1450E-008,1403.125000,1.0000E000
1403.250000,-1.7910E-008,1403.250000,-1.1500E-007,1403.250000,1.0000E000
1403.375000,-3.1070E-008,1403.375000,-8.3630E-008,1403.375000,1.0000E000
1403.500000,-2.1580E-008,1403.500000,-3.8330E-008,1403.500000,1.0000E000
1403.625000,1.0870E-008,1403.625000,-9.2770E-008,1403.625000,1.0870E004
1403.750000,9.2770E-009,1403.750000,-9.4620E-008,1403.750000,9.2770E003
1403.875000,-2.1510E-008,1403.875000,-1.3050E-007,1403.875000,1.0000E000
1404.000000,-3.9070E-009,1404.000000,-7.7030E-008,1404.000000,1.0000E000
1404.125000,-3.0340E-008,1404.125000,-1.1980E-007,1404.125000,1.0000E000
1404.250000,-9.9770E-009,1404.250000,-7.4660E-008,1404.250000,1.0000E000
1404.375000,-3.5690E-008,1404.375000,-9.3460E-008,1404.375000,1.0000E000
1404.500000,2.1360E-010,1404.500000,-9.1910E-008,1404.500000,2.1360E002
1404.625000,-1.5700E-008,1404.625000,-6.7820E-008,1404.625000,1.0000E000
1404.750000,-2.4190E-008,1404.750000,-6.2330E-008,1404.750000,1.0000E000
1404.875000,-4.3640E-008,1404.875000,-4.4290E-008,1404.875000,1.0000E000
1405.000000,-1.8240E-008,1405.000000,-8.6430E-008,1405.000000,1.0000E000
1405.125000,-3.4890E-008,1405.125000,-7.4540E-008,1405.125000,1.0000E000
1405.250000,1.3110E-008,1405.250000,-6.5790E-008,1405.250000,1.3110E004
1405.375000,-3.1870E-008,1405.375000,-7.2150E-008,1405.375000,1.0000E000
1405.500000,-2.0180E-008,1405.500000,-8.0620E-008,1405.500000,1.0000E000
1405.625000,-3.9380E-008,1405.625000,-1.1610E-007,1405.625000,1.0000E000
1405.750000,-2.2320E-008,1405.750000,-2.5680E-008,1405.750000,1.0000E000
1405.875000,-1.0680E-009,1405.875000,-1.0110E-007,1405.875000,1.0000E000
1406.000000,-4.9810E-008,1406.000000,-8.1250E-008,1406.000000,1.0000E000
1406.125000,7.3910E-009,1406.125000,-6.8580E-008,1406.125000,7.3910E003
1406.250000,-6.5450E-008,1406.250000,-5.8720E-008,1406.250000,1.0000E000
1406.375000,-2.8070E-008,1406.375000,-8.5550E-008,1406.375000,1.0000E000
1406.500000,2.1880E-008,1406.500000,-8.1190E-008,1406.500000,2.1880E004
1406.625000,1.8200E-008,1406.625000,-1.0410E-007,1406.625000,1.8200E004
1406.750000,4.5680E-009,1406.750000,-8.0270E-008,1406.750000,4.5680E003
1406.875000,6.8320E-009,1406.875000,-9.2150E-008,1406.875000,6.8320E003
1407.000000,2.5260E-008,1407.000000,-8.6540E-008,1407.000000,2.5260E004
1407.125000,-5.3380E-010,1407.125000,-7.2590E-008,1407.125000,1.0000E000
1407.250000,-1.0760E-008,1407.250000,-6.6460E-008,1407.250000,1.0000E000
1407.375000,8.9460E-009,1407.375000,-9.1160E-008,1407.375000,8.9460E003
1407.500000,-9.6090E-009,1407.500000,-9.7580E-008,1407.500000,1.0000E000
1407.625000,-1.5480E-008,1407.625000,-1.0220E-007,1407.625000,1.0000E000
1407.750000,-6.3620E-009,1407.750000,-9.3450E-008,1407.750000,1.0000E000
1407.875000,-1.3380E-008,1407.875000,-5.6130E-008,1407.875000,1.0000E000
1408.000000,3.8200E-008,1408.000000,-1.1310E-007,1408.000000,3.8200E004
1408.125000,-2.3390E-008,1408.125000,-6.9080E-008,1408.125000,1.0000E000
1408.250000,1.1060E-008,1408.250000,-1.1140E-007,1408.250000,1.1060E004
1408.375000,-2.6260E-009,1408.375000,-8.1210E-008,1408.375000,1.0000E000
1408.500000,1.1030E-008,1408.500000,-5.6410E-008,1408.500000,1.1030E004
1408.625000,5.0350E-009,1408.625000,-9.5180E-008,1408.625000,5.0350E003
1408.750000,1.5080E-008,1408.750000,-8.5040E-008,1408.750000,1.5080E004
1408.875000,-2.5590E-009,1408.875000,-6.9390E-008,1408.875000,1.0000E000
1409.000000,-1.4270E-008,1409.000000,-1.0490E-007,1409.000000,1.0000E000
1409.125000,6.5070E-009,1409.125000,-7.2190E-008,1409.125000,6.5070E003
1409.250000,-1.0990E-008,1409.250000,-1.0000E-007,1409.250000,1.0000E000
1409.375000,-2.1890E-008,1409.375000,-9.1230E-008,1409.375000,1.0000E000
1409.500000,3.9240E-008,1409.500000,-9.7120E-008,1409.500000,3.9240E004
1409.625000,-7.5970E-009,1409.625000,-7.4900E-008,1409.625000,1.0000E000
1409.750000,2.0570E-008,1409.750000,-7.2710E-008,1409.750000,2.0570E004
1409.875000,-5.3220E-008,1409.875000,-8.5860E-008,1409.875000,1.0000E000
1410.000000,1.0860E-008,1410.000000,-5.3580E-008,1410.000000,1.0860E004
1410.125000,-1.9540E-008,1410.125000,-1.0990E-007,1410.125000,1.0000E000
1410.250000,-2.0280E-008,1410.250000,-6.8570E-008,1410.250000,1.0000E000
1410.375000,-1.3350E-008,1410.375000,-7.4900E-008,1410.375000,1.0000E000
1410.500000,-7.4860E-009,1410.500000,-5.3970E-008,1410.500000,1.0000E000
1410.625000,3.7960E-009,1410.625000,-8.9310E-008,1410.625000,3.7960E003
1410.750000,-2.1580E-008,1410.750000,-9.8530E-008,1410.750000,1.0000E000
1410.875000,1.8220E-008,1410.875000,-9.7290E-008,1410.875000,1.8220E004
1411.000000,-6.9490E-009,1411.000000,-6.4720E-008,1411.000000,1.0000E000
1411.125000,2.7880E-008,1411.125000,-6.0360E-008,1411.125000,2.7880E004
1411.250000,-1.2590E-008,1411.250000,-6.8340E-008,1411.250000,1.0000E000
1411.375000,4.3990E-008,1411.375000,-8.7190E-008,1411.375000,4.3990E004
1411.500000,-4.7910E-009,1411.500000,-4.9180E-008,1411.500000,1.0000E000
1411.625000,3.4890E-008,1411.625000,-1.2250E-007,1411.625000,3.4890E004
1411.750000,7.2820E-009,1411.750000,-5.2530E-008,1411.750000,7.2820E003
1411.875000,4.7440E-008,1411.875000,-6.3380E-008,1411.875000,4.7440E004
1412.000000,6.2560E-009,1412.000000,-7.5130E-008,1412.000000,6.2560E003
1412.125000,1.1980E-008,1412.125000,-9.5250E-008,1412.125000,1.1980E004
1412.250000,1.2650E-008,1412.250000,-1.8910E-008,1412.250000,1.2650E004
