
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1400.000000,-3.1580E-008,1400.000000,-5.2530E-008,1400.000000,1.0000E000
1400.125000,-4.2020E-008,1400.125000,-8.8150E-008,1400.125000,1.0000E000
1400.250000,-3.5710E-008,1400.250000,-8.9320E-008,1400.250000,1.0000E000
1400.375000,-6.6020E-008,1400.375000,-5.9530E-008,1400.375000,1.0000E000
1400.500000,-3.0990E-008,1400.500000,-8.8850E-008,1400.500000,1.0000E000
1400.625000,-3.5900E-008,1400.625000,-5.4100E-008,1400.625000,1.0000E000
1400.750000,-2.2480E-008,1400.750000,-1.0240E-007,1400.750000,1.0000E000
1400.875000,-1.1020E-008,1400.875000,-7.2560E-008,1400.875000,1.0000E000
1401.000000,-4.1500E-008,1401.000000,-8.4120E-008,1401.000000,1.0000E000
1401.125000,-5.4490E-008,1401.125000,-5.7180E-008,1401.125000,1.0000E000
1401.250000,-3.5900E-009,1401.250000,-7.6460E-008,1401.250000,1.0000E000
1401.375000,-3.2900E-008,1401.375000,-5.6440E-008,1401.375000,1.0000E000
1401.500000,-2.6110E-008,1401.500000,-6.8180E-008,1401.500000,1.0000E000
1401.625000,-2.0530E-008,1401.625000,-6.4430E-008,1401.625000,1.0000E000
1401.750000,-3.0530E-008,1401.750000,-9.4430E-008,1401.750000,1.0000E000
1401.875000,-4.1790E-008,1401.875000,-6.0570E-008,1401.875000,1.0000E000
1402.000000,-4.2630E-008,1402.000000,-9.6020E-008,1402.000000,1.0000E000
1402.125000,-5.6550E-008,1402.125000,-9.3510E-008,1402.125000,1.0000E000
1402.250000,-2.8920E-008,1402.250000,-8.4140E-008,1402.250000,1.0000E000
1402.375000,9.8100E-009,1402.375000,-4.7580E-008,1402.375000,9.8100E003
1402.500000,-3.0110E-008,1402.500000,-9.8640E-008,1402.500000,1.0000E000
1402.625000,-1.8440E-008,1402.625000,-4.8220E-008,1402.625000,1.0000E000
1402.750000,-1.0550E-008,1402.750000,-5.8520E-008,1402.750000,1.0000E000
1402.875000,-5.4280E-009,1402.875000,-5.9290E-008,1402.875000,1.0000E000
1403.000000,1.1790E-008,1403.000000,-9.1690E-008,1403.000000,1.1790E004
1403.125000,-4.1700E-008,1403.125000,-7.6150E-008,1403.125000,1.0000E000
1403.250000,-3.0430E-008,1403.250000,-8.8520E-008,1403.250000,1.0000E000
1403.375000,-2.5630E-009,1403.375000,-8.8180E-008,1403.375000,1.0000E000
1403.500000,-2.4200E-008,1403.500000,-7.5750E-008,1403.500000,1.0000E000
1403.625000,-6.5810E-008,1403.625000,-8.6250E-008,1403.625000,1.0000E000
1403.750000,-3.2730E-008,1403.750000,-6.6510E-008,1403.750000,1.0000E000
1403.875000,-2.7600E-008,1403.875000,-7.6820E-008,1403.875000,1.0000E000
1404.000000,-2.0880E-008,1404.000000,-7.2310E-008,1404.000000,1.0000E000
1404.125000,-3.3090E-008,1404.125000,-5.7900E-008,1404.125000,1.0000E000
1404.250000,-2.7630E-008,1404.250000,-1.0780E-007,1404.250000,1.0000E000
1404.375000,-6.4720E-009,1404.375000,-6.0130E-008,1404.375000,1.0000E000
1404.500000,2.2970E-008,1404.500000,-7.2540E-008,1404.500000,2.2970E004
1404.625000,-1.5930E-008,1404.625000,-6.9990E-008,1404.625000,1.0000E000
1404.750000,-2.9620E-008,1404.750000,-3.9300E-008,1404.750000,1.0000E000
1404.875000,-2.7020E-008,1404.875000,-6.9940E-008,1404.875000,1.0000E000
1405.000000,5.2760E-009,1405.000000,-8.2630E-008,1405.000000,5.2760E003
1405.125000,-1.6000E-008,1405.125000,-7.2570E-008,1405.125000,1.0000E000
1405.250000,7.6470E-009,1405.250000,-7.9260E-008,1405.250000,7.6470E003
1405.375000,-2.6440E-008,1405.375000,-8.7370E-008,1405.375000,1.0000E000
1405.500000,-3.2180E-008,1405.500000,-7.6110E-008,1405.500000,1.0000E000
1405.625000,-3.5810E-008,1405.625000,-7.5900E-008,1405.625000,1.0000E000
1405.750000,-8.9090E-009,1405.750000,-8.2610E-008,1405.750000,1.0000E000
1405.875000,-7.4980E-009,1405.875000,-7.2900E-008,1405.875000,1.0000E000
1406.000000,-1.1660E-008,1406.000000,-6.7360E-008,1406.000000,1.0000E000
1406.125000,-1.3620E-008,1406.125000,-8.9120E-008,1406.125000,1.0000E000
1406.250000,1.7280E-008,1406.250000,-7.5650E-008,1406.250000,1.7280E004
1406.375000,-5.6810E-009,1406.375000,-7.2120E-008,1406.375000,1.0000E000
1406.500000,-1.6400E-008,1406.500000,-4.3950E-008,1406.500000,1.0000E000
1406.625000,-2.4320E-008,1406.625000,-9.3580E-008,1406.625000,1.0000E000
1406.750000,-1.9650E-008,1406.750000,-8.6440E-008,1406.750000,1.0000E000
1406.875000,-5.5080E-009,1406.875000,-6.3640E-008,1406.875000,1.0000E000
1407.000000,1.7820E-008,1407.000000,-7.5250E-008,1407.000000,1.7820E004
1407.125000,-1.2780E-008,1407.125000,-5.6190E-008,1407.125000,1.0000E000
1407.250000,-2.5150E-008,1407.250000,-7.0490E-008,1407.250000,1.0000E000
1407.375000,-2.3410E-008,1407.375000,-8.6790E-008,1407.375000,1.0000E000
1407.500000,1.2100E-008,1407.500000,-7.4240E-008,1407.500000,1.2100E004
1407.625000,-1.7780E-008,1407.625000,-6.3670E-008,1407.625000,1.0000E000
1407.750000,-1.5920E-008,1407.750000,-4.0950E-008,1407.750000,1.0000E000
